confirm_bars,feature_set,max_depth,min_samples_leaf,hold_bars,leverage,trained_months,return_2025_pct,return_2026_pct,min_target_year_return_pct,max_drawdown_pct,losing_months,min_monthly_return_pct,trade_count,turnover,hard_pass_relaxed
0,event_micro_plus_time,2,5,96,1.0,11,-20.087447549540695,90.36804268180269,-20.087447549540695,-47.40760303272643,6,-22.709503230949025,171,337.0,False
2,event_micro,3,3,64,1.0,11,-20.132023981495063,12.019691643108278,-20.132023981495063,-62.286499442043365,7,-20.141929448541262,198,393.0,False
2,event_micro_plus_time,3,8,32,2.0,11,-20.193819908744114,28.550132536543813,-20.193819908744114,-74.55733335542274,6,-28.42716839041679,211,838.0,False
2,market_only,6,5,64,1.0,11,96.41994433874868,-20.2078630353414,-20.2078630353414,-37.073211302518686,6,-24.621082779560023,198,393.0,False
2,market_only,4,3,32,1.0,11,-20.217085430377047,70.64611898049786,-20.217085430377047,-30.766106962678275,7,-15.342064580351778,211,419.0,False
2,event_micro,2,3,96,0.5,11,-20.28236063913266,-14.428975165359958,-20.28236063913266,-46.04047299138519,8,-15.643756043474166,173,171.5,False
1,market_only,4,5,64,0.5,11,-10.332395373597558,-20.30362635703835,-20.30362635703835,-34.13646697570892,9,-9.616485817077836,195,193.5,False
0,market_only,4,3,96,1.0,11,18.072783753710485,-20.348244983766396,-20.348244983766396,-60.13733073578224,8,-17.802233474291196,171,337.0,False
1,event_micro_plus_time,4,5,96,0.5,11,-20.395557630317505,23.69151563795102,-20.395557630317505,-34.257831728860445,8,-15.567467805183854,173,170.5,False
1,event_micro_plus_time,6,5,96,0.5,11,-20.395557630317505,14.455729673634687,-20.395557630317505,-35.93332233357902,7,-15.567467805183854,173,170.5,False
0,market_only,3,3,32,1.0,11,-20.442561963907913,-14.589406725096243,-20.442561963907913,-47.1149096892335,8,-18.215314040558496,214,427.0,False
1,event_micro,3,8,64,0.5,11,-20.484731054406257,16.123782286962694,-20.484731054406257,-31.817229100538714,8,-10.568330549847571,195,193.5,False
2,market_only,3,5,64,0.5,11,-4.196524244338795,-20.537959055207157,-20.537959055207157,-42.11658076471764,8,-22.447107806408262,198,197.5,False
4,event_micro_plus_time,3,8,32,0.5,11,-20.550827880968402,-10.338726785959572,-20.550827880968402,-35.58007884976704,10,-9.441017172767763,214,213.5,False
2,event_micro,3,5,32,1.0,11,-20.567145367964134,-13.943360363511847,-20.567145367964134,-57.578287335002265,8,-15.399272101486494,211,419.0,False
4,event_micro_plus_time,2,3,96,0.5,11,-9.107107238779655,-20.62981056814932,-20.62981056814932,-32.82949548162929,8,-19.229877027799645,168,166.5,False
4,event_micro_plus_time,2,8,96,0.5,11,-9.687169607644652,-20.62981056814932,-20.62981056814932,-33.25816576359668,8,-19.229877027799645,168,166.5,False
4,event_micro_plus_time,2,5,96,0.5,11,-10.948820673996263,-20.62981056814932,-20.62981056814932,-34.19053501798499,8,-19.229877027799645,168,166.5,False
1,market_only,4,3,32,0.5,11,-20.650971400741792,-19.339586906669716,-20.650971400741792,-40.019093302734234,10,-10.862780507448244,215,214.5,False
1,event_micro,4,3,64,1.0,11,-20.68812588947321,137.7832214747651,-20.68812588947321,-50.023464385081425,5,-20.01976499358673,195,387.0,False
2,market_only,3,8,96,1.0,11,-20.74271512548538,-20.672364082145755,-20.74271512548538,-66.36562420450153,9,-34.7341043184968,173,343.0,False
2,event_micro_plus_time,2,3,64,0.5,11,-11.827562593409802,-20.79508293335717,-20.79508293335717,-46.15025267546427,8,-19.676985763596555,198,197.5,False
2,event_micro_plus_time,2,5,64,0.5,11,-18.199161191546864,-20.79508293335717,-20.79508293335717,-47.12170371938507,9,-19.676985763596555,198,197.5,False
4,event_micro,3,3,64,0.5,11,-20.814721939068082,-17.539865782473697,-20.814721939068082,-45.33796618134749,8,-19.416463830351493,190,189.5,False
2,event_micro_plus_time,3,5,64,0.5,11,-20.85527347405408,18.824576215145328,-20.85527347405408,-30.64101974371586,8,-12.258987072154348,198,197.5,False
1,event_micro,5,5,96,1.0,11,-20.875204804650515,36.57576659086128,-20.875204804650515,-48.74899378452569,7,-25.93762291761228,173,341.0,False
1,event_micro,6,5,96,1.0,11,-20.875204804650515,59.06456092981476,-20.875204804650515,-48.74899378452569,7,-25.93762291761228,173,341.0,False
1,event_micro_plus_time,4,3,64,1.0,11,-20.959543962551553,47.474628380927484,-20.959543962551553,-51.58353706595693,6,-20.01976499358673,195,387.0,False
1,market_only,4,3,64,0.5,11,-7.001449026342222,-21.041039876712265,-21.041039876712265,-37.51295264806267,9,-11.097696381590193,195,193.5,False
0,event_micro_plus_time,3,5,96,2.0,11,-21.046991841525518,117.87894796773597,-21.046991841525518,-69.19359774889648,6,-36.804574803308256,171,674.0,False
0,event_micro,5,8,32,0.5,11,-21.078095787110673,-7.902674279930821,-21.078095787110673,-33.35319039681632,10,-18.870135117651333,214,213.5,False
0,event_micro,6,8,32,0.5,11,-21.078095787110673,-3.7860057859900653,-21.078095787110673,-34.2012483547494,9,-18.870135117651333,214,213.5,False
0,event_micro,4,8,32,0.5,11,-21.078095787110673,-7.215695969035996,-21.078095787110673,-34.6289259393496,9,-18.870135117651333,214,213.5,False
1,event_micro_plus_time,5,5,32,0.5,11,-21.15798604821293,-10.132650838951784,-21.15798604821293,-36.26001703254762,9,-11.851127716454602,215,214.5,False
4,event_micro,4,3,32,0.5,11,-21.176732959117707,-10.570051351422594,-21.176732959117707,-35.791949684720755,9,-9.319454820704854,214,212.5,False
4,event_micro,5,3,32,0.5,11,-21.18231787500936,-7.109778750012785,-21.18231787500936,-31.732072071431496,9,-9.319454820704854,214,212.5,False
2,event_micro_plus_time,4,3,64,0.5,11,-21.262857506662957,8.430483750661999,-21.262857506662957,-37.7157464101832,6,-12.343051389999538,198,196.5,False
0,event_micro,3,3,96,1.0,11,-21.283213561692094,43.85994355942802,-21.283213561692094,-48.57297952204668,6,-24.808655979003436,171,337.0,False
0,market_only,4,3,64,0.5,11,-7.616220416245456,-21.291120426427167,-21.291120426427167,-44.395625548087594,9,-17.452513491350608,196,195.5,False
4,event_micro_plus_time,4,3,32,0.5,11,-21.303052297324186,-12.024734945878201,-21.303052297324186,-36.93759312144505,10,-9.319454820704854,214,213.5,False
1,event_micro_plus_time,6,8,64,0.5,11,-21.33980590879897,10.956317816416039,-21.33980590879897,-38.52439993537061,8,-10.568330549847571,195,193.5,False
1,event_micro_plus_time,5,8,64,0.5,11,-21.33980590879897,-13.46661236461195,-21.33980590879897,-41.79620685436102,7,-13.544539481348073,195,193.5,False
4,market_only,3,5,32,1.0,11,-21.341229131443495,14.492916001121237,-21.341229131443495,-43.848809493696585,7,-23.48239530385049,214,425.0,False
1,event_micro_plus_time,6,5,32,0.5,11,-21.342753190238984,-16.064113321580344,-21.342753190238984,-40.60652635808913,10,-13.259385231634536,215,214.5,False
4,event_micro_plus_time,5,3,32,0.5,11,-21.359955488611902,-9.16739262916103,-21.359955488611902,-31.885932873676204,9,-9.931118526423177,214,213.5,False
2,market_only,5,8,32,0.5,11,14.687307799575787,-21.36486526256788,-21.36486526256788,-36.91218125509435,7,-16.736502909628616,211,210.5,False
