month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,scenario_id,candidate,miss_rate,seed
2025-02,0.10255935438652852,1.0679732581372436,1.1834359808219386,-0.06766700206675302,20.3,13,10.800306480031029,-6.766700206675303,2C_miss0.02_seed3,2C,0.02,3
2025-03,0.34854514671692954,1.182995338634647,1.6769341275423693,-0.288293362984511,65.9,11,41.7004514581075,-28.829336298451103,2C_miss0.02_seed3,2C,0.02,3
2025-04,0.06632843698207498,1.676766442514006,1.7919342788166577,-0.2940311707059142,80.0,16,6.857761994672207,-29.40311707059142,2C_miss0.02_seed3,2C,0.02,3
2025-05,0.16267498321787036,1.7917550943481488,2.1084869866440523,-0.17783438264389473,48.0,12,17.665419517307136,-17.783438264389474,2C_miss0.02_seed3,2C,0.02,3
2025-06,0.08989159239832537,2.1082761484874717,2.3068021498689095,-0.1815275883768277,48.0,12,9.405567332454945,-18.152758837682768,2C_miss0.02_seed3,2C,0.02,3
2025-07,0.05425857473835014,2.306571481187549,2.4354238070682626,-0.07525493122970295,32.4,14,5.575755909827906,-7.525493122970294,2C_miss0.02_seed3,2C,0.02,3
2025-08,0.09306724142733733,2.4351802768642687,2.672964165301383,-0.09722674102696927,32.2,12,9.75355326427021,-9.722674102696926,2C_miss0.02_seed3,2C,0.02,3
2025-09,0.05976242129193255,2.6726968822492285,2.837576810402535,-0.10192151979435926,32.2,12,6.1584306755040785,-10.192151979435927,2C_miss0.02_seed3,2C,0.02,3
2025-10,0.11288325522375074,2.837293066908906,3.1766707277589354,-0.16468621952538987,51.9,16,11.950122939871921,-16.468621952538985,2C_miss0.02_seed3,2C,0.02,3
2025-11,0.20004930992724415,3.176353076568984,3.8801857156095663,-0.10856216691394205,36.2,14,22.146298692623635,-10.856216691394206,2C_miss0.02_seed3,2C,0.02,3
2025-12,0.16719234107435405,3.8797977164382873,4.586308070201725,-0.11521551371929228,32.0,10,18.19815870543271,-11.521551371929228,2C_miss0.02_seed3,2C,0.02,3
2026-01,0.10944515013232718,4.585849462325481,5.116755304367508,-0.21234390403303105,68.3,13,11.565887551519282,-21.234390403303106,2C_miss0.02_seed3,2C,0.02,3
2026-02,0.2544637492364744,5.072644795604918,6.599436441800592,-0.24427114631985958,60.1,11,28.976979535595593,-24.42711463198596,2C_miss0.02_seed3,2C,0.02,3
2026-03,0.21158692714390342,6.598776531152495,8.154510297588585,-0.2925249695229706,36.0,12,23.563737138798956,-29.252496952297058,2C_miss0.02_seed3,2C,0.02,3
2026-04,0.1798212593972438,8.153694887330017,9.760976477277499,-0.11229497873015437,36.0,12,19.70033908920279,-11.229497873015436,2C_miss0.02_seed3,2C,0.02,3
2026-05,0.13330054833545787,9.760000428433024,11.152826824752877,-0.0950269055650087,32.2,12,14.259335126106066,-9.50269055650087,2C_miss0.02_seed3,2C,0.02,3
2026-06,0.37518085395598927,11.151711597832675,16.230202309619248,-0.2113058144879909,54.7,12,45.525457936794126,-21.13058144879909,2C_miss0.02_seed3,2C,0.02,3
2025-01,0.06539707697736687,0.9999000049998333,1.0675828528046503,-0.1755076110748066,50.2,12,6.758285280465026,-17.55076110748066,2C_miss0.05_seed1,2C,0.05,1
2025-02,0.1025146992509897,1.067476099857106,1.1828322521219237,-0.06810101768112953,20.3,13,10.795358787798182,-6.810101768112952,2C_miss0.05_seed1,2C,0.05,1
2025-03,0.3469266396686062,1.18239183472781,1.6733680902690986,-0.28832514363126105,64.9,9,41.47129377535877,-28.832514363126105,2C_miss0.05_seed1,2C,0.05,1
2025-04,0.06632843698207498,1.6732007618266334,1.7881236911945448,-0.29403117070591434,80.0,16,6.857761994672207,-29.403117070591435,2C_miss0.05_seed1,2C,0.05,1
2025-05,0.1595710472801596,1.787944887765746,2.097482676399484,-0.17783438264389473,48.0,12,17.300759825975653,-17.783438264389474,2C_miss0.05_seed1,2C,0.05,1
2025-06,0.09151937380090484,2.0972729386189077,2.298501235894489,-0.1801942092762301,48.0,12,9.58380070342566,-18.01942092762301,2C_miss0.05_seed1,2C,0.05,1
2025-07,0.061388844135811894,2.2982713972630227,2.4440246277904505,-0.06863768643180324,32.4,14,6.331229656238535,-6.8637686431803235,2C_miss0.05_seed1,2C,0.05,1
2025-08,0.09101474132181223,2.4437802375473874,2.676903883717995,-0.09124752489812193,32.2,12,9.528515109034807,-9.124752489812193,2C_miss0.05_seed1,2C,0.05,1
2025-09,0.05976242129193255,2.6766362067136966,2.841759153646644,-0.10192151979435915,32.2,12,6.1584306755040785,-10.192151979435915,2C_miss0.05_seed1,2C,0.05,1
2025-10,0.11288325522375074,2.8414749919396014,3.181352866162483,-0.16468621952538987,51.9,16,11.950122939871921,-16.468621952538985,2C_miss0.05_seed1,2C,0.05,1
2025-11,0.20004930992724415,3.1810347467821005,3.8859047743691653,-0.10856216691394216,36.2,14,22.146298692623635,-10.856216691394216,2C_miss0.05_seed1,2C,0.05,1
2025-12,0.17030175358101537,3.8855162033206048,4.607371862045643,-0.11251118499351631,32.2,12,18.56625752733738,-11.25111849935163,2C_miss0.05_seed1,2C,0.05,1
2026-01,0.1238838054732591,4.606911147895531,5.21501208036432,-0.2098909446623689,68.3,13,13.188434459225352,-20.989094466236892,2C_miss0.05_seed1,2C,0.05,1
2026-02,0.2647827816450169,5.170054519882278,6.795931923111739,-0.2417701301029499,60.1,11,30.314787739417206,-24.17701301029499,2C_miss0.05_seed1,2C,0.05,1
2026-03,0.21238560070368967,6.795252363897955,8.404016843993414,-0.2901836449650086,36.0,12,23.662463648478592,-29.01836449650086,2C_miss0.05_seed1,2C,0.05,1
2026-04,0.1765298727057002,8.403176484327696,10.02658093457942,-0.1086455823427257,36.0,12,19.3070066458243,-10.86455823427257,2C_miss0.05_seed1,2C,0.05,1
2026-05,0.13500264041346385,10.025578326617193,11.475821001774008,-0.0934852463794158,32.0,10,14.453980640563957,-9.34852463794158,2C_miss0.05_seed1,2C,0.05,1
2026-06,0.36014983854091587,11.47467347705102,16.451096621718865,-0.22174850928010248,54.7,12,43.35441986395345,-22.174850928010247,2C_miss0.05_seed1,2C,0.05,1
2025-01,0.06586270102717974,0.9999000049998333,1.0680800608031016,-0.1755076110748066,50.2,12,6.808006080310158,-17.55076110748066,2C_miss0.05_seed2,2C,0.05,2
2025-02,0.1025146992509897,1.0679732581372436,1.1833831355077296,-0.06766700206675302,20.3,13,10.795358787798182,-6.766700206675303,2C_miss0.05_seed2,2C,0.05,2
2025-03,0.34854514671692954,1.1829425129969353,1.6768592454935607,-0.28832514363126094,65.9,11,41.7004514581075,-28.832514363126094,2C_miss0.05_seed2,2C,0.05,2
2025-04,0.07351119390385133,1.676691567953028,1.8047710486726083,-0.28894211335933684,80.0,16,7.6280584385839845,-28.894211335933683,2C_miss0.05_seed2,2C,0.05,2
2025-05,0.15859831815397674,1.8045905805912956,2.114951877010645,-0.17190770741193973,48.0,12,17.186713437484038,-17.190770741193973,2C_miss0.05_seed2,2C,0.05,2
2025-06,0.12557080265452555,2.114740392397351,2.397922797877673,-0.17713941603310235,48.0,12,13.379544184569792,-17.713941603310236,2C_miss0.05_seed2,2C,0.05,2
2025-07,0.0525563203692335,2.397922797877673,2.527319315898624,-0.07668468497273062,32.2,12,5.396191993148203,-7.668468497273063,2C_miss0.05_seed2,2C,0.05,2
2025-08,0.09101474132181223,2.5270665966032095,2.768135318767579,-0.09862252402675165,32.2,12,9.528515109034807,-9.862252402675164,2C_miss0.05_seed2,2C,0.05,2
2025-09,0.05976242129193255,2.7678585190759173,2.938609013378024,-0.10192151979435926,32.2,12,6.1584306755040785,-10.192151979435927,2C_miss0.05_seed2,2C,0.05,2
2025-10,0.11403200258009925,2.938315167169242,3.2935576966045876,-0.16468621952538975,47.9,14,12.078799241772487,-16.468621952538975,2C_miss0.05_seed2,2C,0.05,2
2025-11,0.20004930992724415,3.293228357302167,4.022958821708531,-0.10368691907104721,36.2,14,22.146298692623635,-10.368691907104722,2C_miss0.05_seed2,2C,0.05,2
2025-12,0.17030175358101537,4.022556545940483,4.769871716765674,-0.11251118499351642,32.2,12,18.56625752733738,-11.251118499351643,2C_miss0.05_seed2,2C,0.05,2
