scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars,timestamp,date,guard_reason,trend_alignment,from_active_position,to_position,turnover,order_count,entry_cost_log,next_1bar_target_log_return,next_3bar_target_log_return,next_8bar_target_log_return,close,natr_30,trend_close_ema_gap_bps_60,trend_adx_30
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-12 15:00:00+00:00,2025-02-12,main,no_strong_trend,-0.1,-8.0,7.9,0,-0.0158,-0.05322789185539989,-0.07008738045641394,-0.17557695766002723,94926.8,0.417215661281316,-174.21319948203617,14.021475340045846
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-12 16:45:00+00:00,2025-02-12,adverse_shock_cut,no_strong_trend,-8.0,0.0,8.0,1,-0.016,0.0,0.0,-0.0,96944.3,0.4760485947341882,-198.8511804259474,14.471443655291264
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-12 17:00:00+00:00,2025-02-12,shock_cooldown_small,flat,0.0,-0.1,0.1,1,-0.0002,-0.00047181610957451885,-0.00029513299310455213,0.0005456295080771056,97033.2,0.4763543940603827,-198.8511804259474,14.471443655291264
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-12 17:15:00+00:00,2025-02-12,weak_new_order_small,no_strong_trend,-0.1,0.1,0.2,2,-0.0004,-0.0003593405858607568,-0.0004546069862234603,-0.0008109343872225949,97492.1,0.4827240855079397,-198.8511804259474,14.471443655291264
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-12 17:30:00+00:00,2025-02-12,main,no_strong_trend,0.1,8.0,7.9,0,-0.0158,0.014612597551263207,-0.03100839841319214,-0.02164700945519371,97142.4,0.4898965366601711,-198.8511804259474,14.471443655291264
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-13 09:00:00+00:00,2025-02-13,weak_new_order_small,no_strong_trend,8.0,-0.1,8.1,2,-0.0162,-1.4883283342292941e-05,-0.00013636457945196412,-0.00012264292322665684,96073.8,0.3208508618820883,-164.59910517459875,15.155543348335948
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-13 09:15:00+00:00,2025-02-13,main,no_strong_trend,-0.1,-8.0,7.9,0,-0.0158,-0.007639337339611529,-0.01534617468756494,0.002364846244972796,96088.1,0.3138076704240984,-164.59910517459875,15.155543348335948
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-14 04:00:00+00:00,2025-02-14,weak_new_order_small,no_strong_trend,-8.0,0.1,8.1,2,-0.0162,-6.215412771322093e-05,-0.00017634165462006025,-0.00013519845192000446,96886.1,0.2834112881932934,-87.67475676309644,16.458075401119594
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-14 04:15:00+00:00,2025-02-14,main,no_strong_trend,0.1,8.0,7.9,0,-0.0158,-0.002338559127508688,-0.004619932678622263,-0.00998703179860172,96825.9,0.2790471756908377,-31.430444908284727,16.597714407214106
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-16 23:15:00+00:00,2025-02-16,weak_new_order_small,no_strong_trend,8.0,-0.1,8.1,2,-0.0162,4.554913301415553e-05,2.3707918555970766e-05,-2.2870734707680643e-05,96181.8,0.1865175523808302,-35.11063616381094,16.16154127904202
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-16 23:30:00+00:00,2025-02-16,main,no_strong_trend,-0.1,-8.0,7.9,0,-0.0158,0.005910356399013494,-0.02011241566709998,-0.009364381287184642,96138.0,0.1876116359358053,-35.11063616381094,16.16154127904202
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-18 21:00:00+00:00,2025-02-18,adverse_shock_cut,no_strong_trend,-8.0,0.0,8.0,1,-0.016,0.0,-0.0,0.0,95120.3,0.3947521597652033,-285.3414041135061,16.88584901067738
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-18 21:15:00+00:00,2025-02-18,shock_cooldown_small,flat,0.0,-0.1,0.1,1,-0.0002,0.0002586242366142244,0.00014959841619273108,-0.0004273613884240746,95125.6,0.3964195309544811,-285.3414041135061,16.88584901067738
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-18 21:30:00+00:00,2025-02-18,main,no_strong_trend,-0.1,-8.0,7.9,0,-0.0158,-0.01257865206109443,-0.04091547098391857,-0.039732577012784986,94879.9,0.3999089818739775,-285.3414041135061,16.88584901067738
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-19 08:45:00+00:00,2025-02-19,weak_new_order_small,no_strong_trend,-8.0,0.1,8.1,2,-0.0162,0.00012211417937226798,0.0002509668551255118,0.0007277580643219039,95589.8,0.2390947440900616,-107.72685003104245,17.12941421650972
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-19 09:00:00+00:00,2025-02-19,main,no_strong_trend,0.1,8.0,7.9,0,-0.0158,0.002774666984194596,0.015732650309288942,0.05270428516683978,95706.6,0.2372513300336601,-107.72685003104245,17.12941421650972
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-20 14:45:00+00:00,2025-02-20,adverse_shock_cut,no_strong_trend,8.0,0.0,8.0,1,-0.016,0.0,0.0,0.0,96918.0,0.2059963621126103,39.20222379798943,15.832136020989685
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-20 15:00:00+00:00,2025-02-20,shock_cooldown_small,flat,0.0,0.1,0.1,1,-0.0002,3.215119332313776e-05,-0.00016029181900556466,0.000712726988529333,97025.9,0.2145296280936907,39.20222379798943,15.832136020989685
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-20 15:15:00+00:00,2025-02-20,main,no_strong_trend,0.1,8.0,7.9,0,-0.0158,0.00916872498682153,0.02544551823913821,0.06392878499524102,97057.1,0.2170656850559149,39.20222379798943,15.832136020989685
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-21 15:15:00+00:00,2025-02-21,adverse_shock_cut,no_strong_trend,8.0,0.0,8.0,1,-0.016,-0.0,0.0,-0.0,98167.0,0.3003786495100123,170.1109034109649,13.745516754746804
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-21 15:30:00+00:00,2025-02-21,shock_cooldown_small,flat,0.0,0.1,0.1,1,-0.0002,0.0005163341399835986,0.0007311808477057369,-0.0004749216450068872,97552.6,0.3277072593681194,170.1109034109649,13.745516754746804
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-21 15:45:00+00:00,2025-02-21,main,no_strong_trend,0.1,8.0,7.9,0,-0.0158,0.039333034469905215,0.021883692442159486,-0.0925692078618141,98057.6,0.3457159059290316,170.1109034109649,13.745516754746804
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-21 17:30:00+00:00,2025-02-21,adverse_shock_cut,no_strong_trend,8.0,0.0,8.0,1,-0.016,-0.0,-0.0,-0.0,97090.4,0.3931605124532152,113.14982076660483,13.390266707377409
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-21 17:45:00+00:00,2025-02-21,shock_cooldown_small,flat,0.0,-0.1,0.1,1,-0.0002,0.00024335913559596635,0.0001231549497378026,0.0017505143186308915,96929.5,0.3936748637344123,113.14982076660483,13.390266707377409
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-21 18:00:00+00:00,2025-02-21,main,no_strong_trend,-0.1,-8.0,7.9,0,-0.0158,-0.028773177181861342,0.016050193277720837,0.11994250164919151,96693.9,0.3988023110130688,113.14982076660483,13.390266707377409
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-22 11:45:00+00:00,2025-02-22,weak_new_order_small,no_strong_trend,-8.0,0.1,8.1,2,-0.0162,6.586701315836052e-05,0.00014348467248446184,-1.336511262088891e-05,96526.4,0.1819417266354625,-61.21445682550686,13.32746947253208
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-22 12:00:00+00:00,2025-02-22,main,no_strong_trend,0.1,8.0,7.9,0,-0.0158,-0.0029076615855956334,0.01581208875266782,-0.00328051515312211,96590.0,0.1796228790334592,-61.21445682550686,13.32746947253208
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-23 15:00:00+00:00,2025-02-23,weak_new_order_small,no_strong_trend,8.0,-0.1,8.1,2,-0.0162,-7.989768502145723e-05,0.00020170122811169477,0.00029777268916912907,95584.1,0.1380238461474974,-71.00649042177665,12.751417059297989
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-23 15:15:00+00:00,2025-02-23,main,no_strong_trend,-0.1,-8.0,7.9,0,-0.0158,0.009505909362601983,0.013065162878362457,0.037579041891319775,95660.5,0.1371843370614006,-71.00649042177665,12.751417059297989
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-25 11:30:00+00:00,2025-02-25,adverse_shock_cut,no_strong_trend,-8.0,0.0,8.0,1,-0.016,0.0,0.0,0.0,88798.3,0.7085004320933661,-715.5708877285605,17.268602862238303
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-25 11:45:00+00:00,2025-02-25,shock_cooldown_small,flat,0.0,-0.1,0.1,1,-0.0002,-6.727430310604632e-07,0.0002722715458537195,0.0004480414563651891,89186.8,0.7036300527490367,-715.5708877285605,17.268602862238303
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-25 12:00:00+00:00,2025-02-25,main,no_strong_trend,-0.1,-8.0,7.9,0,-0.0158,-0.005613173253436798,-0.014571740818951184,0.00957658831762842,89187.4,0.6942575860368226,-715.5708877285605,17.268602862238303
