timestamp,date,close,strategy_log_return,gross_log_return,cost_log_return,raw_log_return,active_position,position,turnover,order_count,base_side,trend_side,trend_alignment,weak_trend,guard_reason,natr_30,trend_close_ema_gap_bps_60,trend_adx_30,rsi14,scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars
2025-02-25 11:30:00+00:00,2025-02-25,88798.3,-0.11653184150557115,-0.10053184150557115,-0.016,0.012566480188196394,-8.0,0.0,8.0,1,-1,0,no_strong_trend,False,adverse_shock_cut,0.7085004320933661,-715.5708877285605,17.268602862238303,43.003152748403046,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-28 16:30:00+00:00,2025-02-28,84632.9,-0.11552844884911372,-0.09952844884911372,-0.016,0.012441056106139214,-8.0,0.0,8.0,1,-1,-1,with_trend,False,adverse_shock_cut,0.844921057946679,-765.4796177483192,35.34751719043325,73.88989205826336,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-12 16:45:00+00:00,2025-02-12,96944.3,-0.10060964432865126,-0.08460964432865126,-0.016,0.010576205541081407,-8.0,0.0,8.0,1,-1,0,no_strong_trend,True,adverse_shock_cut,0.4760485947341882,-198.8511804259474,14.471443655291264,63.071755933575965,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-25 16:30:00+00:00,2025-02-25,87256.8,-0.0995642587100125,-0.0835642587100125,-0.016,0.010445532338751562,-8.0,0.0,8.0,1,-1,0,no_strong_trend,False,adverse_shock_cut,0.7893222219304354,-896.6382019020535,19.86495536671592,41.23302042655186,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-26 14:45:00+00:00,2025-02-26,87589.1,-0.09883027470933746,-0.08283027470933746,-0.016,0.010353784338667182,-8.0,0.0,8.0,1,-1,0,no_strong_trend,False,adverse_shock_cut,0.5296318644944721,-630.719951552905,24.183163488746743,45.87247311694379,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-26 21:45:00+00:00,2025-02-26,84585.6,-0.09733362513633813,-0.08133362513633813,-0.016,0.010166703142042266,-8.0,0.0,8.0,1,-1,0,no_strong_trend,False,adverse_shock_cut,0.8971381856280498,-1120.961133040943,26.31430824134216,44.326405993895655,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-18 21:00:00+00:00,2025-02-18,95120.3,-0.09681021943368683,-0.08081021943368683,-0.016,0.010101277429210853,-8.0,0.0,8.0,1,-1,0,no_strong_trend,True,adverse_shock_cut,0.3947521597652033,-285.3414041135061,16.88584901067738,58.18422009857221,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-21 15:15:00+00:00,2025-02-21,98167.0,-0.09575837104964967,-0.07975837104964967,-0.016,-0.009969796381206208,8.0,0.0,8.0,1,1,0,no_strong_trend,True,adverse_shock_cut,0.3003786495100123,170.1109034109649,13.745516754746804,40.18055779681232,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-28 02:00:00+00:00,2025-02-28,82416.2,-0.09495542161743663,-0.07895542161743663,-0.016,0.009869427702179578,-8.0,0.0,8.0,1,-1,-1,with_trend,False,adverse_shock_cut,0.7226866266103367,-829.6399419107736,32.21003159278484,33.97046493234711,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-28 13:30:00+00:00,2025-02-28,81460.1,-0.08988782835228369,-0.07388782835228369,-0.016,0.009235978544035461,-8.0,0.0,8.0,1,-1,-1,with_trend,False,adverse_shock_cut,0.802104192976322,-1213.0373629977064,35.15696786935816,64.78259955343128,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-28 02:45:00+00:00,2025-02-28,80772.0,-0.08914073988621317,-0.07314073988621317,-0.016,0.009142592485776646,-8.0,0.0,8.0,1,-1,-1,with_trend,False,adverse_shock_cut,0.8488074184243938,-829.6399419107736,32.21003159278484,30.27266175760168,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-12 14:30:00+00:00,2025-02-12,95476.3,-0.08634037051377595,-0.07034037051377595,-0.016,0.008792546314221994,-8.0,0.0,8.0,1,-1,0,no_strong_trend,True,adverse_shock_cut,0.3923590496810435,-174.21319948203617,14.021475340045846,46.98877695112473,1F_04pct_delay2_fail,1F,0.002,0.004,2
