date,bars,net_log,gross_log,cost_log,turnover,orders,active_bars,large_active_bars,worst_bar_log_return,net_return_pct,scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars
2025-02-24,96,0.4009854232136405,0.4009854232136405,0.0,0.0,0,96,96,-0.03317962865732227,49.32955008918214,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-25,96,0.27723256673301233,0.3732325667330123,-0.096,48.0,6,93,90,-0.11653184150557115,31.947320092599995,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-26,96,-0.11105457695613544,0.016945423043864604,-0.128,64.0,8,93,90,-0.09883027470933746,-10.511009277098537,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-27,96,-0.6646929176162979,-0.5686929176162978,-0.096,48.0,6,80,79,-0.08430369873098618,-48.556852370223126,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-28,96,-0.29244539419511606,-0.08444539419511604,-0.20800000000000002,104.0,13,66,60,-0.14162664850266005,-25.356399633818295,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-01,96,0.08307793438495474,0.09657793438495474,-0.013500000000000002,13.5,1,95,89,-0.01804628550677117,8.662649081560225,1G_base,1G,0.001,0.002,0
2025-02-02,96,0.014824953255545559,0.014824953255545559,0.0,0.0,0,96,0,-0.004262201917828001,1.4935387929821298,1G_base,1G,0.001,0.002,0
2025-02-03,96,0.01085888422788217,0.011858884227882172,-0.001,1.0,2,96,0,-0.009332346404883674,1.0918055896700585,1G_base,1G,0.001,0.002,0
2025-02-04,96,-0.0065541408716733186,-0.0055541408716733185,-0.001,1.0,2,96,0,-0.004634015843705264,-0.6532709337716547,1G_base,1G,0.001,0.002,0
2025-02-05,96,-0.013655715788336707,-0.011655715788336707,-0.002,2.0,4,96,0,-0.0034435730951907217,-1.3562899472912116,1G_base,1G,0.001,0.002,0
2025-02-06,96,-0.0053725422405096245,0.009127457759490375,-0.0145,14.5,3,42,2,-0.006766701502839562,-0.5358135946467613,1G_base,1G,0.001,0.002,0
2025-02-07,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-08,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-09,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-10,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-11,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-12,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-13,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-14,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-15,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-16,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-17,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-18,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-19,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-20,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-21,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-22,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-23,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-24,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-25,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-26,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1G_base,1G,0.001,0.002,0
2025-02-27,96,-0.0002179415439805708,-0.00011794154398057074,-0.0001,0.1,1,24,0,-0.0005820806120816257,-0.021791779644753095,1G_base,1G,0.001,0.002,0
2025-02-28,96,0.00043617873029173633,0.00043617873029173633,0.0,0.0,0,96,0,-0.0015703331062832506,0.04362738700662838,1G_base,1G,0.001,0.002,0
2025-02-01,96,0.07632793438495475,0.09657793438495474,-0.020250000000000004,13.5,1,95,89,-0.021296285506771172,7.931646110810764,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-02,96,0.014824953255545559,0.014824953255545559,0.0,0.0,0,96,0,-0.004262201917828001,1.4935387929821298,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-03,96,0.007343798399137626,0.008843798399137626,-0.0015,1.0,2,96,0,-0.008332346404883673,0.737083021816165,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-04,96,-0.0038851781263696027,-0.0023851781263696022,-0.0015,1.0,2,96,0,-0.004634015843705264,-0.3877640586554043,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-05,96,-0.013646340774581732,-0.010646340774581731,-0.003,2.0,4,96,0,-0.0034435730951907217,-1.3553651568176672,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-06,96,-0.2451633929242883,-0.2129133929242883,-0.03225,21.5,4,96,54,-0.03434939677715043,-21.74233396940295,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-07,96,-0.2674688589525377,-0.2044688589525377,-0.063,42.0,6,95,93,-0.10188000648184707,-23.468583706358626,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-08,96,0.003092296064531652,0.003092296064531652,0.0,0.0,0,96,96,-0.01934888884964714,0.3097082144060348,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-09,96,-0.20594317708845794,-0.16394317708845793,-0.042,28.0,4,96,94,-0.04892720965761832,-18.612067803828104,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-10,96,-0.018582826738010913,0.0024171732619890918,-0.021,14.0,2,96,95,-0.044653933287147396,-1.8411230571122705,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-11,96,-0.04366815227550598,-0.022668152275505983,-0.021,14.0,2,96,95,-0.03990593853130342,-4.272842683661304,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-12,96,-0.3856708090707992,-0.30137080907079916,-0.08430000000000001,56.2,10,93,88,-0.15737766172008666,-32.000566319241166,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-13,96,-0.18117415001890586,-0.16017415001890586,-0.021,14.0,2,96,95,-0.03279884644608089,-16.570994558496423,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-14,96,3.301360048175994e-06,0.021003301360048174,-0.021,14.0,2,96,95,-0.04895488933292036,0.00033013654976432605,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-15,96,0.006670322189023636,0.006670322189023636,0.0,0.0,0,96,96,-0.021125376101835514,0.6692618334666056,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-16,96,-0.11379615457294863,-0.09279615457294862,-0.021,14.0,2,96,95,-0.03783234627923626,-10.756014287429638,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-17,96,0.023633802092927425,0.023633802092927425,0.0,0.0,0,96,96,-0.03782322563981566,2.3915293590722975,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-18,96,-0.029588233684815803,-0.008588233684815805,-0.021000000000000005,14.0,2,95,94,-0.08120894200447597,-2.915478738851529,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-19,96,0.04637513759311877,0.06737513759311878,-0.021,14.0,2,96,95,-0.035103380703899845,4.746728161694946,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-20,96,0.11890710847967867,0.11890710847967867,0.0,0.0,0,96,96,-0.054835319999069654,12.626529293367827,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-21,96,-0.08726590508670659,-0.04526590508670658,-0.042,28.0,4,95,93,-0.08028857466844345,-8.356662106525302,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-22,96,-0.05617886123247838,-0.035178861232478376,-0.021,14.0,2,96,95,-0.02483721053715371,-5.462996928117514,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-23,96,-0.12878091004110254,-0.10778091004110255,-0.021,14.0,2,96,95,-0.027358679310392375,-12.083343898733744,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-24,96,0.35086224531193544,0.35086224531193544,0.0,0.0,0,96,96,-0.029032175075156985,42.02916606009308,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-25,96,0.1667012754940781,0.22970127549407807,-0.06300000000000001,42.0,6,93,90,-0.09846536131737475,18.140129907179325,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-26,96,0.008384310438589868,0.09238431043858988,-0.084,56.0,8,94,92,-0.08166692199429586,0.8419557207107298,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-27,96,-0.39924492220583135,-0.3572449222058314,-0.042,28.0,4,82,82,-0.0647210794629998,-32.91736190455432,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-28,96,-0.21498380138167048,-0.07848380138167048,-0.1365,91.0,13,65,59,-0.12042331743982752,-19.34454948598998,1G_03pct_delay1_fail,1G,0.0015,0.003,1
2025-02-01,96,0.06957793438495474,0.09657793438495474,-0.027000000000000003,13.5,1,95,89,-0.02454628550677117,7.205560794358923,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-02,96,0.014824953255545559,0.014824953255545559,0.0,0.0,0,96,0,-0.004262201917828001,1.4935387929821298,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-03,96,0.009858884227882172,0.011858884227882172,-0.002,1.0,2,96,0,-0.010332346404883673,0.9907643131387589,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-04,96,-0.007554140871673319,-0.0055541408716733185,-0.002,1.0,2,96,0,-0.004634015843705264,-0.752568006026999,1G_04pct_delay0_fail,1G,0.002,0.004,0
2025-02-05,96,-0.015655715788336706,-0.011655715788336707,-0.004,2.0,4,96,0,-0.0034435730951907217,-1.5533802114357287,1G_04pct_delay0_fail,1G,0.002,0.004,0
