variant_id,month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct
first_15_orders_then_flat,2025-10,0.017525903429690813,3.0098027907975236,3.063323574601599,-0.2566141042202855,95.5,16,1.768038322159371,-25.661410422028553
first_15_orders_then_flat,2025-11,-0.025935843263236544,3.0630172575602463,2.9848951445491863,-0.2570352209367105,80.0,16,-2.5602398226120426,-25.70352209367105
first_15_orders_then_flat,2025-12,-0.004678355555604411,2.9845966699587096,2.97096335810247,-0.2724532176702599,64.2,16,-0.4667429096180342,-27.245321767025988
first_15_orders_then_flat,2026-01,-0.12022003747249665,2.9706662766209817,2.6344283822966372,-0.33933073248084566,100.2,16,-11.327469754483111,-33.93307324808457
first_15_orders_then_flat,2026-02,0.12177769177283895,2.6134370325908334,2.975594698030247,-0.3445950014689749,92.2,16,12.95029760635147,-34.45950014689749
first_15_orders_then_flat,2026-03,0.11320470352341847,2.975297153437922,3.3322528975243935,-0.38387707288362427,64.2,16,11.986114901005962,-38.38770728836243
first_15_orders_then_flat,2026-04,0.009653112580392002,3.33191968889535,3.3645752646250298,-0.29935492578700584,64.2,16,0.9699854151121068,-29.935492578700583
first_15_orders_then_flat,2026-05,-0.07983577140948543,3.364238823920883,3.1064045439741594,-0.31292128623498683,64.2,16,-7.673203906753534,-31.292128623498684
first_15_orders_then_flat,2026-06,0.30227888909743006,3.106093919051267,4.202774285151822,-0.40120320718058333,86.7,16,35.293849389462515,-40.12032071805833
first_20_orders_then_flat,2025-01,0.39722247565856506,0.9999000049998333,1.4876868673527475,-0.36712605197401305,130.0,20,48.76868673527475,-36.7126051974013
first_20_orders_then_flat,2025-02,-0.41499640932160003,1.4875381061041986,0.9823830910042424,-0.5821567308491067,100.2,22,-33.96573482211777,-58.21567308491067
first_20_orders_then_flat,2025-03,0.296792247924776,0.9821375259284049,1.3218315520168824,-0.688827474384071,145.0,20,34.55357325680743,-68.8827474384071
first_20_orders_then_flat,2025-04,0.4079614224625465,1.3216993754706183,1.9877030716148045,-0.5410128674450951,112.0,20,50.37491491120174,-54.101286744509515
first_20_orders_then_flat,2025-05,-0.34672640695508744,1.987504311245827,1.4053035506981952,-0.45702768810636185,124.2,22,-29.300126826461536,-45.70276881063619
first_20_orders_then_flat,2025-06,0.23159375765610796,1.405163027369409,1.771536213553688,-0.5324758641303469,112.2,22,26.060751264275805,-53.24758641303469
first_20_orders_then_flat,2025-07,0.4705377118636707,1.7713590687897185,2.835972180732206,-0.4272584703406015,128.0,22,60.085476042472095,-42.72584703406015
first_20_orders_then_flat,2025-08,0.1861657632751612,2.835688597693521,3.416274270164748,-0.4367943133578057,112.2,22,20.46219259043356,-43.67943133578057
first_20_orders_then_flat,2025-09,-0.2340282049790714,3.4159326598185333,2.7034327586952265,-0.4499568481760957,112.2,22,-20.866050413310187,-44.99568481760957
first_20_orders_then_flat,2025-10,0.36146063728920724,2.70316242893607,3.8805736664124146,-0.5236829283629105,127.5,20,43.54245186720747,-52.368292836291054
first_20_orders_then_flat,2025-11,-0.08488901733831453,3.880185628447995,3.56475018663559,-0.38290612986611006,112.2,22,-8.13857710034923,-38.29061298661101
first_20_orders_then_flat,2025-12,-0.462134800719577,3.564393729440084,2.245569529100839,-0.5528317502265003,112.0,20,-37.0062581798977,-55.283175022650035
first_20_orders_then_flat,2026-01,-0.3038152483559474,2.2453449833754022,1.65722402499916,-0.6888476233475345,148.2,22,-26.200279994770924,-68.88476233475345
first_20_orders_then_flat,2026-02,0.07747925821594422,1.6440191228338976,1.790729693303743,-0.6726206228643631,140.2,22,8.05598194876831,-67.2620622864363
first_20_orders_then_flat,2026-03,0.6814397403317152,1.7905506292877629,3.539774154717498,-0.6661744286990208,112.0,20,97.67216503719867,-66.61744286990208
first_20_orders_then_flat,2026-04,-0.2821245484136081,3.539420195000307,2.6696259757066767,-0.4776356058100222,112.0,20,-24.582025320772626,-47.76356058100222
first_20_orders_then_flat,2026-05,0.2992628511158008,2.669359026456791,3.6009627119948826,-0.5486630535460417,112.2,22,34.88641273209336,-54.86630535460417
first_20_orders_then_flat,2026-06,0.558789307768478,3.6006026337278962,6.2964786801815595,-0.3750632721491177,126.5,19,74.85542572290053,-37.50632721491177
