confirm_bars,leverage,lock_log,quota_arm_log,quota_leverage,train_hard_ok,train_return_pct,train_losing_months,train_min_monthly_return_pct,train_min_monthly_orders,train_turnover,eval_return_pct,eval_losing_months,eval_min_monthly_return_pct,eval_min_monthly_orders,eval_turnover,eval_hard_pass
12,4.0,0.04,0.08,1.0,False,139.20894479460551,1,-30.35717937507161,11,676.0,101.06957984453358,1,-26.744792467752998,12,590.0,False
12,6.0,0.02,,,False,694.4987556420592,3,-44.2127058464974,12,1644.0,838.3155298117988,2,-5.691491252431646,12,1260.0,False
12,6.0,0.02,0.04,0.25,False,42.30219619966782,1,-41.881482399256655,11,881.5,82.39617160341383,0,0.9953632049261474,12,393.5,False
12,6.0,0.02,0.04,1.0,False,104.91388835795861,1,-41.881482399256655,11,964.0,124.55529685492306,0,0.9953632049261474,12,492.0,True
12,6.0,0.02,0.08,0.25,False,90.98861431100846,1,-41.881482399256655,11,881.5,129.4891210132104,1,-0.5616054477811216,12,584.0,False
12,6.0,0.02,0.08,1.0,False,132.14508543996004,1,-41.881482399256655,11,934.0,153.44171802912655,1,-0.5616054477811216,12,654.0,False
12,6.0,0.04,,,False,677.5167031309552,3,-44.2127058464974,12,1644.0,376.2119788052739,2,-37.30141284656933,11,1614.0,False
12,6.0,0.04,0.04,0.25,False,48.42787439898193,1,-41.881482399256655,11,916.0,96.71597499778946,0,3.311087099295884,12,393.5,False
12,6.0,0.04,0.04,1.0,False,112.04751288242826,1,-41.881482399256655,11,964.0,142.1086504077102,0,3.1186604753510316,12,492.0,True
12,6.0,0.04,0.08,0.25,False,90.98861431100846,1,-41.881482399256655,11,881.5,49.81151892763671,1,-37.30141284656933,12,721.5,False
12,6.0,0.04,0.08,1.0,False,139.18897995577518,1,-41.881482399256655,11,954.0,68.8747401102108,1,-37.30141284656933,12,780.0,False
12,8.0,0.02,,,False,1381.2415759892,4,-54.07522225847421,12,2192.0,1984.9232732590854,1,-0.7481054965377321,12,1680.0,False
12,8.0,0.02,0.04,0.25,False,39.68074003509376,1,-51.4987753540405,11,931.0,85.84643585836902,1,-0.14520607931659546,12,440.0,False
12,8.0,0.02,0.04,1.0,False,95.85464526482608,1,-51.4987753540405,11,1016.0,117.81499134786743,0,1.068266697206588,12,540.0,True
12,8.0,0.02,0.08,0.25,False,99.9663724310527,1,-51.4987753540405,11,1169.5,128.3787734057154,1,-0.7481054965377321,12,772.0,False
12,8.0,0.02,0.08,1.0,False,146.5652302427737,1,-51.4987753540405,11,1222.0,148.35938155209868,1,-0.7481054965377321,12,846.0,False
12,8.0,0.04,,,False,1432.1033772802962,3,-54.07522225847421,12,2192.0,594.3585623909543,3,-46.33674569407421,11,2152.0,False
12,8.0,0.04,0.04,0.25,False,50.18858399300199,1,-51.4987753540405,11,962.0,119.98331329593137,0,3.795264290534539,12,455.5,True
12,8.0,0.04,0.04,1.0,False,119.26095559546698,1,-51.4987753540405,11,1064.0,136.6464839588076,0,2.264032940081395,12,540.0,True
12,8.0,0.04,0.08,0.25,False,99.9663724310527,1,-51.4987753540405,11,1169.5,32.33964419733037,1,-46.33674569407421,12,940.0,False
12,8.0,0.04,0.08,1.0,False,149.40474305375756,1,-51.4987753540405,11,1236.0,44.711618770355656,1,-46.33674569407421,12,1014.0,False
