config_id,top_k,lookback_months,min_pos_rate,score_mode,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_target_year_return_pct,total_eval_return_pct,non_positive_months,min_monthly_orders,months,hard_pass
20,3,36,0.45,pos_mean,-82.79947287781424,-81.27701341862719,-41.3013468908402,-47.83285302069956,-47.83285302069956,-99.0138519862358,22,6,41,False
100,10,0,0.45,mean_minus_std,-5.882488298175667,-2.2304428247875485,-47.896040055210385,-15.623859557298697,-47.896040055210385,-59.54572037643071,24,9,41,False
35,3,0,0.55,pos_mean,22.83983446271411,-26.811178425108178,-47.98116577260435,0.0,-47.98116577260435,-53.232452903463944,28,0,41,False
61,5,36,0.55,mean_minus_std,3.8339398570382404,-19.208760389386782,-48.942295329783306,-10.42436556115848,-48.942295329783306,-61.633270105689064,23,0,41,False
146,50,12,0.45,pos_mean,-44.23806099758998,-18.207918040707742,-49.31941823077241,-22.391250683133784,-49.31941823077241,-82.06086879337226,27,985,41,False
149,50,12,0.5,pos_mean,-44.23806099758998,-18.207918040707742,-49.31941823077241,-22.391250683133784,-49.31941823077241,-82.06086879337226,27,985,41,False
31,3,0,0.5,mean_minus_std,26.885652900521617,-17.400699429631292,-49.899598510083685,-0.612993279169321,-49.899598510083685,-47.813315573748305,21,3,41,False
28,3,0,0.45,mean_minus_std,17.228229750740276,-17.400699429631292,-49.899598510083685,-1.2670021434282637,-49.899598510083685,-52.102581551663704,22,3,41,False
97,10,36,0.55,mean_minus_std,40.38794121542577,-7.747440576838419,-49.98676673239452,-26.174256176143302,-49.98676673239452,-52.180944677992144,23,0,41,False
65,5,0,0.45,pos_mean,-44.88216222782071,-26.975192852826606,-50.459662299480144,-50.07145914050357,-50.459662299480144,-90.0443314864657,22,5,41,False
145,50,12,0.45,mean_minus_std,-32.45354255067684,-26.849163374778417,-50.62624727252588,-16.246638904459367,-50.62624727252588,-79.5675588483141,25,887,41,False
148,50,12,0.5,mean_minus_std,-32.45354255067684,-26.849163374778417,-50.62624727252588,-16.246638904459367,-50.62624727252588,-79.5675588483141,25,887,41,False
58,5,36,0.5,mean_minus_std,16.792051881437736,-29.262983356523375,-50.72557691198969,-14.497420456583649,-50.72557691198969,-65.19346484193198,26,10,41,False
144,50,12,0.45,mean,-40.685008394703004,-19.764288319067923,-50.900766905754246,-25.486919170249273,-50.900766905754246,-82.58837074112674,26,985,41,False
147,50,12,0.5,mean,-40.685008394703004,-19.764288319067923,-50.900766905754246,-25.486919170249273,-50.900766905754246,-82.58837074112674,26,985,41,False
33,3,0,0.55,mean,27.583409095534872,-21.215071902923544,-51.49564130168534,0.0,-51.49564130168534,-51.24511768607179,28,0,41,False
34,3,0,0.55,mean_minus_std,27.583409095534872,-21.215071902923544,-51.49564130168534,0.0,-51.49564130168534,-51.24511768607179,28,0,41,False
123,20,24,0.55,mean,31.7465145419904,-25.16431327905749,-52.197568148978355,-40.79688495022328,-52.197568148978355,-72.09754399623375,23,0,41,False
125,20,24,0.55,pos_mean,37.693861427779105,-25.16431327905749,-52.197568148978355,-40.79688495022328,-52.197568148978355,-70.83796164297944,23,0,41,False
116,20,12,0.55,pos_mean,-78.15243460665737,3.7749398907943306,-52.485411778338786,16.778773699374085,-52.485411778338786,-87.41983264259635,29,18,41,False
124,20,24,0.55,mean_minus_std,52.229736152559504,-25.16431327905747,-52.5455075640579,-38.19886083189504,-52.5455075640579,-66.58957070562397,23,0,41,False
159,50,24,0.55,mean,39.47522212685629,-25.16431327905749,-52.6039794541486,-39.255395240247395,-52.6039794541486,-69.94924417381417,24,0,41,False
160,50,24,0.55,mean_minus_std,39.47522212685628,-25.16431327905747,-52.6039794541486,-39.255395240247395,-52.6039794541486,-69.94924417381417,24,0,41,False
161,50,24,0.55,pos_mean,39.47522212685631,-25.16431327905749,-52.6039794541486,-39.255395240247395,-52.6039794541486,-69.94924417381417,24,0,41,False
89,10,24,0.55,pos_mean,-35.94775354747154,-28.523108324765463,-52.716309414459516,-47.77680109489722,-52.716309414459516,-88.69488820075344,24,0,41,False
87,10,24,0.55,mean,-30.18321473425808,-24.42660819775737,-52.84647056472587,-44.828398823591094,-52.84647056472587,-86.27353979876415,23,0,41,False
135,20,0,0.45,mean,-44.613521856008084,-9.354392941845338,-53.21451140856723,-32.73335484745018,-53.21451140856723,-84.19984127047974,24,9,41,False
32,3,0,0.5,pos_mean,21.743835009445945,-23.34644133077766,-53.84007724188048,-29.039258398804428,-53.84007724188048,-69.43231712221827,20,3,41,False
110,20,12,0.45,pos_mean,-72.75575489869948,-23.222345943113805,-53.937263364362245,-18.835958139085736,-53.937263364362245,-92.17970710089038,28,48,41,False
113,20,12,0.5,pos_mean,-72.75575489869948,-23.222345943113805,-53.937263364362245,-18.835958139085736,-53.937263364362245,-92.17970710089038,28,48,41,False
71,5,0,0.55,pos_mean,26.041332468395982,-25.488323632466685,-54.188260209707416,0.0,-54.188260209707416,-56.97567105601904,28,0,41,False
99,10,0,0.45,mean,-51.05937046160427,34.860500844971035,-17.75053951451015,-54.231570474404144,-54.231570474404144,-75.15417693499899,22,9,41,False
137,20,0,0.45,pos_mean,-41.80310380548594,-2.1512422413209786,-54.23368116647881,-32.73335484745018,-54.23368116647881,-82.46923412950736,23,9,41,False
83,10,24,0.45,pos_mean,109.03451743422785,10.812513533991922,-54.36276301353951,-43.17888683318243,-54.36276301353951,-39.93300679676849,23,20,41,False
80,10,12,0.55,pos_mean,-77.97439293481654,-1.6181143334061237,-54.99242362483405,39.572247387381864,-54.99242362483405,-86.38781859365355,27,18,41,False
74,10,12,0.45,pos_mean,-79.79561351013199,-32.63047957795832,-54.99242362483405,3.6902490274171447,-54.99242362483405,-93.64767560792056,27,20,41,False
77,10,12,0.5,pos_mean,-79.79561351013199,-32.63047957795832,-54.99242362483405,3.6902490274171447,-54.99242362483405,-93.64767560792056,27,20,41,False
86,10,24,0.5,pos_mean,86.84358568583674,3.7642931171557317,-55.498805630453674,-43.17888683318243,-55.498805630453674,-50.97613701672894,23,20,41,False
102,10,0,0.5,mean,46.2352375571968,-27.61390641376749,-55.68956016427676,-5.704573855159289,-55.68956016427676,-55.77133167814954,20,9,41,False
103,10,0,0.5,mean_minus_std,52.019860940588835,-27.613906413767488,-55.70267509415342,-4.742141001306334,-55.70267509415342,-53.56624696099443,21,9,41,False
104,10,0,0.5,pos_mean,58.61684439090729,-27.61390641376747,-56.281460740550024,-7.3978771357449835,-56.281460740550024,-53.517333775737306,21,9,41,False
66,5,0,0.5,mean,18.409544828172372,-20.752314902560812,-56.67733964499866,-14.76838743916439,-56.67733964499866,-65.35112647669854,20,5,41,False
173,50,0,0.45,pos_mean,-57.345140534149806,-11.848780774983235,-57.17885030905473,-31.41809822055431,-57.17885030905473,-88.9575692042957,26,9,41,False
172,50,0,0.45,mean_minus_std,-56.544132302853555,-11.848780774983233,-57.17885030905473,-31.418098220554313,-57.17885030905473,-88.75020530551274,26,9,41,False
171,50,0,0.45,mean,-56.524633032105676,-11.848780774983227,-57.17885030905474,-31.41809822055431,-57.17885030905474,-88.74515736137467,26,9,41,False
69,5,0,0.55,mean,29.648793917665195,-24.108333715860635,-57.2852734635448,0.0,-57.2852734635448,-57.97185715433029,28,0,41,False
70,5,0,0.55,mean_minus_std,32.037549866795345,-25.488323632466685,-57.2852734635448,0.0,-57.2852734635448,-57.97580321809808,28,0,41,False
136,20,0,0.45,mean_minus_std,-28.714445276935795,-21.558168422748476,-57.74356783076322,-29.622754652391187,-57.74356783076322,-83.37068543125876,26,9,41,False
68,5,0,0.5,pos_mean,25.710504528131157,-26.975192852826606,-58.33783993773156,-15.16579093092261,-58.33783993773156,-67.5544764558526,20,5,41,False
105,10,0,0.55,mean,44.31963777233016,-33.01955700367537,-58.56875883863428,0.0,-58.56875883863428,-59.95010429778871,28,0,41,False
106,10,0,0.55,mean_minus_std,44.31963777233016,-33.01955700367537,-58.56875883863428,0.0,-58.56875883863428,-59.95010429778871,28,0,41,False
107,10,0,0.55,pos_mean,44.31963777233016,-33.01955700367536,-58.56875883863428,0.0,-58.56875883863428,-59.95010429778871,28,0,41,False
141,20,0,0.55,mean,44.31963777233016,-33.01955700367537,-58.56875883863428,0.0,-58.56875883863428,-59.95010429778871,28,0,41,False
142,20,0,0.55,mean_minus_std,44.31963777233016,-33.01955700367537,-58.56875883863428,0.0,-58.56875883863428,-59.95010429778871,28,0,41,False
