strategy,period,return_pct,max_drawdown_pct,trades
ben_walker_turtle_rules,2021-02,-15.72806488069648,-96.01773591323942,212
ben_walker_turtle_rules,2021-03,-24.15968111949265,-96.87749410699249,240
ben_walker_turtle_rules,2021-04,-32.801690278012416,-98.0324425425151,257
ben_walker_turtle_rules,2021-05,-45.518478205165515,-98.92210224818838,261
ben_walker_turtle_rules,2021-06,-20.950116160114863,-99.12413608922294,226
ben_walker_turtle_rules,2021-07,-32.83532345056823,-99.41907444322271,257
ben_walker_turtle_rules,2021-08,-29.55673282435597,-99.56989959014973,253
ben_walker_turtle_rules,2021-09,-37.97846854876863,-99.73312067628584,238
ben_walker_turtle_rules,2021-10,-37.21974833286599,-99.83488336822953,259
ben_walker_turtle_rules,2021-11,-25.75626558973234,-99.87608112242978,230
ben_walker_turtle_rules,2021-12,-35.031867895565064,-99.92090958114703,258
ben_walker_turtle_rules,2022-01,-23.659023335873776,-99.94092132361467,249
ben_walker_turtle_rules,2022-02,-10.54553550141617,-99.95360306660291,219
ben_walker_turtle_rules,2022-03,-40.60551118091714,-99.96836243936691,260
ben_walker_turtle_rules,2022-04,-15.477315049119289,-99.9728251434585,219
ben_walker_turtle_rules,2022-05,-35.590402711927474,-99.98215453294242,245
ben_walker_turtle_rules,2022-06,-15.257939326265447,-99.98606441587303,221
ben_walker_turtle_rules,2022-07,-23.36838304389812,-99.98870135166136,238
ben_walker_turtle_rules,2022-08,-20.574719004691467,-99.99079563804013,235
ben_walker_turtle_rules,2022-09,-38.0317743624953,-99.99430560013894,263
ben_walker_turtle_rules,2022-10,-33.356743175901535,-99.99620429019186,245
ben_walker_turtle_rules,2022-11,-30.33783104311726,-99.99739611640685,224
ben_walker_turtle_rules,2022-12,-20.993629480017805,-99.99791237716126,229
ben_walker_turtle_rules,2023-01,-13.952459606950928,-99.99820128917666,235
ben_walker_turtle_rules,2023-02,-23.94442759962734,-99.99864046541018,221
ben_walker_turtle_rules,2023-03,-16.330504043110274,-99.9988650213469,240
ben_walker_turtle_rules,2023-04,-24.991670352847407,-99.99915102355989,228
ben_walker_turtle_rules,2023-05,-21.137240225184506,-99.99933317997908,255
ben_walker_turtle_rules,2023-06,-25.82905855722477,-99.99949739133042,235
ben_walker_turtle_rules,2023-07,-28.369549533337857,-99.9996419994606,258
ben_walker_turtle_rules,2023-08,-12.901063437982529,-99.99970717476414,253
ben_walker_turtle_rules,2023-09,-27.01817011169947,-99.99977173212602,248
ben_walker_turtle_rules,2023-10,-23.463437230033968,-99.99982484432496,248
ben_walker_turtle_rules,2023-11,-27.239114137538667,-99.99987255517921,240
ben_walker_turtle_rules,2023-12,-16.345121372534223,-99.99989412407353,248
ben_walker_turtle_rules,2024-01,-19.898343753914215,-99.9999152646437,239
ben_walker_turtle_rules,2024-02,-15.795580233065888,-99.99993201066422,221
ben_walker_turtle_rules,2024-03,-21.67685612174719,-99.99994367775471,228
ben_walker_turtle_rules,2024-04,-23.345022141860884,-99.99995827768475,241
ben_walker_turtle_rules,2024-05,-25.630470035671536,-99.9999678918444,256
ben_walker_turtle_rules,2024-06,-21.650012659924734,-99.99997495453246,234
ben_walker_turtle_rules,2024-07,-19.354353980303674,-99.99998006283761,247
ben_walker_turtle_rules,2024-08,-13.246733772678798,-99.99998304247791,235
ben_walker_turtle_rules,2024-09,-23.14143089960703,-99.99998651372722,228
ben_walker_turtle_rules,2024-10,-28.131895372983017,-99.99999049336311,250
ben_walker_turtle_rules,2024-11,-16.234534574066682,-99.99999189394455,229
ben_walker_turtle_rules,2024-12,-32.69151703670165,-99.99999464228627,255
ben_walker_turtle_rules,2025-01,-18.93885711148706,-99.99999567415627,233
ben_walker_turtle_rules,2025-02,-17.805476988930824,-99.99999669315768,220
ben_walker_turtle_rules,2025-03,-31.45275017556316,-99.99999750659462,258
ben_walker_turtle_rules,2025-04,-26.35345043969224,-99.99999815633342,247
ben_walker_turtle_rules,2025-05,-31.572148142926657,-99.999998741354,265
ben_walker_turtle_rules,2025-06,-22.255610576619176,-99.99999903473146,235
ben_walker_turtle_rules,2025-07,-26.270019626856023,-99.9999992912344,259
ben_walker_turtle_rules,2025-08,-25.578082379332812,-99.99999946666055,272
ben_walker_turtle_rules,2025-09,-26.978519924557233,-99.99999960759871,262
ben_walker_turtle_rules,2025-10,-9.002151181537032,-99.99999964238883,235
ben_walker_turtle_rules,2025-11,-23.07068036087766,-99.99999972764374,244
ben_walker_turtle_rules,2025-12,-13.400305341705888,-99.9999997688046,226
ben_walker_turtle_rules,2026-01,-21.083867384958733,-99.99999982549606,243
ben_walker_turtle_rules,2026-02,-20.498162627941387,-99.99999986712618,219
ben_walker_turtle_rules,2026-03,-27.566329218162288,-99.9999998934004,221
ben_walker_turtle_rules,2026-04,-18.840567120865593,-99.99999991212977,223
ben_walker_turtle_rules,2026-05,-31.102399969633577,-99.99999993945951,265
