symbol,timestamp,funding_interval_hours,funding_rate
ADAUSDT,2023-02-23 00:00:00.006000+00:00,8,0.0001
ADAUSDT,2023-02-23 08:00:00.005000+00:00,8,0.0001
ADAUSDT,2023-02-23 16:00:00.002000+00:00,8,0.0001
ADAUSDT,2023-02-24 00:00:00.015000+00:00,8,0.0001
ADAUSDT,2023-02-24 08:00:00.011000+00:00,8,0.0001
ADAUSDT,2023-02-24 16:00:00.014000+00:00,8,0.0001
ADAUSDT,2023-02-25 00:00:00.015000+00:00,8,2.064e-05
ADAUSDT,2023-02-25 08:00:00.015000+00:00,8,0.0001
ADAUSDT,2023-02-25 16:00:00.015000+00:00,8,0.0001
ADAUSDT,2023-02-26 00:00:00.007000+00:00,8,-2.09e-06
ADAUSDT,2023-02-26 08:00:00.012000+00:00,8,5.775e-05
ADAUSDT,2023-02-26 16:00:00+00:00,8,0.0001
ADAUSDT,2023-02-27 00:00:00.011000+00:00,8,0.0001
ADAUSDT,2023-02-27 08:00:00.003000+00:00,8,0.0001
ADAUSDT,2023-02-27 16:00:00+00:00,8,9.35e-06
ADAUSDT,2023-02-28 00:00:00.011000+00:00,8,4.266e-05
ADAUSDT,2023-02-28 08:00:00.018000+00:00,8,0.0001
ADAUSDT,2023-02-28 16:00:00.005000+00:00,8,0.0001
ADAUSDT,2023-03-01 00:00:00.016000+00:00,8,-0.00016157
ADAUSDT,2023-03-01 08:00:00+00:00,8,0.0001
ADAUSDT,2023-03-01 16:00:00.008000+00:00,8,0.0001
ADAUSDT,2023-03-02 00:00:00.009000+00:00,8,0.0001
ADAUSDT,2023-03-02 08:00:00.013000+00:00,8,-4.215e-05
ADAUSDT,2023-03-02 16:00:00+00:00,8,9.862e-05
ADAUSDT,2023-03-03 00:00:00+00:00,8,0.0001
ADAUSDT,2023-03-03 08:00:00.013000+00:00,8,-0.00013668
ADAUSDT,2023-03-03 16:00:00+00:00,8,0.0001
ADAUSDT,2023-03-04 00:00:00.001000+00:00,8,0.0001
ADAUSDT,2023-03-04 08:00:00.008000+00:00,8,5.952e-05
ADAUSDT,2023-03-04 16:00:00.012000+00:00,8,4.084e-05
ADAUSDT,2023-03-05 00:00:00+00:00,8,2.421e-05
ADAUSDT,2023-03-05 08:00:00+00:00,8,0.0001
ADAUSDT,2023-03-05 16:00:00.015000+00:00,8,0.0001
ADAUSDT,2023-03-06 00:00:00.007000+00:00,8,3.334e-05
ADAUSDT,2023-03-06 08:00:00.017000+00:00,8,5.485e-05
ADAUSDT,2023-03-06 16:00:00+00:00,8,6.84e-05
ADAUSDT,2023-03-07 00:00:00.009000+00:00,8,-5.964e-05
ADAUSDT,2023-03-07 08:00:00.016000+00:00,8,6.768e-05
ADAUSDT,2023-03-07 16:00:00.017000+00:00,8,-3.82e-05
ADAUSDT,2023-03-08 00:00:00+00:00,8,0.0001
ADAUSDT,2023-03-08 08:00:00.014000+00:00,8,0.0001
ADAUSDT,2023-03-08 16:00:00.021000+00:00,8,9.077e-05
ADAUSDT,2023-03-09 00:00:00.010000+00:00,8,2.033e-05
ADAUSDT,2023-03-09 08:00:00.013000+00:00,8,0.0001
ADAUSDT,2023-03-09 16:00:00.002000+00:00,8,9.555e-05
ADAUSDT,2023-03-10 00:00:00+00:00,8,-0.00039629
ADAUSDT,2023-03-10 08:00:00+00:00,8,4.434e-05
ADAUSDT,2023-03-10 16:00:00.005000+00:00,8,7.378e-05
ADAUSDT,2023-03-11 00:00:00.011000+00:00,8,5.469e-05
ADAUSDT,2023-03-11 08:00:00.003000+00:00,8,-1.38e-06
ADAUSDT,2023-03-11 16:00:00.011000+00:00,8,-7.921e-05
ADAUSDT,2023-03-12 00:00:00.001000+00:00,8,-4.061e-05
ADAUSDT,2023-03-12 08:00:00+00:00,8,0.0001
ADAUSDT,2023-03-12 16:00:00.005000+00:00,8,-0.00029473
ADAUSDT,2023-03-13 00:00:00.010000+00:00,8,-9.18e-06
ADAUSDT,2023-03-13 08:00:00.018000+00:00,8,0.0001
ADAUSDT,2023-03-13 16:00:00.003000+00:00,8,0.0001
ADAUSDT,2023-03-14 00:00:00.010000+00:00,8,0.0001
ADAUSDT,2023-03-14 08:00:00.009000+00:00,8,9.984e-05
ADAUSDT,2023-03-14 16:00:00.010000+00:00,8,0.0001
ADAUSDT,2023-03-15 00:00:00.011000+00:00,8,0.00013162
ADAUSDT,2023-03-15 08:00:00+00:00,8,0.0001
ADAUSDT,2023-03-15 16:00:00.012000+00:00,8,-0.00013022
ADAUSDT,2023-03-16 00:00:00.004000+00:00,8,0.0001
ADAUSDT,2023-03-16 08:00:00.018000+00:00,8,0.0001
ADAUSDT,2023-03-16 16:00:00.005000+00:00,8,1.004e-05
ADAUSDT,2023-03-17 00:00:00.017000+00:00,8,7.51e-05
ADAUSDT,2023-03-17 08:00:00.010000+00:00,8,-2.314e-05
ADAUSDT,2023-03-17 16:00:00.003000+00:00,8,0.0001
ADAUSDT,2023-03-18 00:00:00.012000+00:00,8,0.0001
ADAUSDT,2023-03-18 08:00:00+00:00,8,0.0001
ADAUSDT,2023-03-18 16:00:00.016000+00:00,8,0.0001
ADAUSDT,2023-03-19 00:00:00.013000+00:00,8,0.0001
ADAUSDT,2023-03-19 08:00:00.024000+00:00,8,0.0001
ADAUSDT,2023-03-19 16:00:00+00:00,8,0.0001
ADAUSDT,2023-03-20 00:00:00.005000+00:00,8,0.0001
ADAUSDT,2023-03-20 08:00:00.012000+00:00,8,8.769e-05
ADAUSDT,2023-03-20 16:00:00.015000+00:00,8,0.0001
ADAUSDT,2023-03-21 00:00:00.006000+00:00,8,-2.345e-05
ADAUSDT,2023-03-21 08:00:00.004000+00:00,8,-0.00014565
ADAUSDT,2023-03-21 16:00:00.003000+00:00,8,0.0001
ADAUSDT,2023-03-22 00:00:00+00:00,8,0.0001
ADAUSDT,2023-03-22 08:00:00.003000+00:00,8,0.0001
ADAUSDT,2023-03-22 16:00:00+00:00,8,0.0001
ADAUSDT,2023-03-23 00:00:00.016000+00:00,8,0.0001
ADAUSDT,2023-03-23 08:00:00.001000+00:00,8,0.0001
ADAUSDT,2023-03-23 16:00:00.013000+00:00,8,0.0001
ADAUSDT,2023-03-24 00:00:00.013000+00:00,8,0.0001
ADAUSDT,2023-03-24 08:00:00.012000+00:00,8,0.0001
ADAUSDT,2023-03-24 16:00:00.027000+00:00,8,0.0001
ADAUSDT,2023-03-25 00:00:00.015000+00:00,8,0.0001
ADAUSDT,2023-03-25 08:00:00.011000+00:00,8,9.362e-05
ADAUSDT,2023-03-25 16:00:00.011000+00:00,8,4.143e-05
ADAUSDT,2023-03-26 00:00:00+00:00,8,-2.9e-07
ADAUSDT,2023-03-26 08:00:00.015000+00:00,8,7.41e-06
ADAUSDT,2023-03-26 16:00:00+00:00,8,2.992e-05
ADAUSDT,2023-03-27 00:00:00.019000+00:00,8,4.79e-05
ADAUSDT,2023-03-27 08:00:00.009000+00:00,8,-3.978e-05
ADAUSDT,2023-03-27 16:00:00+00:00,8,5.939e-05
ADAUSDT,2023-03-28 00:00:00.007000+00:00,8,8.326e-05
ADAUSDT,2023-03-28 08:00:00+00:00,8,0.0001
ADAUSDT,2023-03-28 16:00:00.013000+00:00,8,0.0001
ADAUSDT,2023-03-29 00:00:00.010000+00:00,8,0.0001
ADAUSDT,2023-03-29 08:00:00.006000+00:00,8,0.0001
ADAUSDT,2023-03-29 16:00:00.014000+00:00,8,0.0001
ADAUSDT,2023-03-30 00:00:00+00:00,8,0.0001
ADAUSDT,2023-03-30 08:00:00+00:00,8,0.0001
ADAUSDT,2023-03-30 16:00:00.006000+00:00,8,9.482e-05
ADAUSDT,2023-03-31 00:00:00.003000+00:00,8,0.0001
ADAUSDT,2023-03-31 08:00:00.006000+00:00,8,8.973e-05
ADAUSDT,2023-03-31 16:00:00.011000+00:00,8,0.0001
ADAUSDT,2023-04-01 00:00:00+00:00,8,0.0001
ADAUSDT,2023-04-01 08:00:00+00:00,8,0.0001
ADAUSDT,2023-04-01 16:00:00.018000+00:00,8,8.596e-05
ADAUSDT,2023-04-02 00:00:00.013000+00:00,8,0.0001
ADAUSDT,2023-04-02 08:00:00.014000+00:00,8,-1.827e-05
ADAUSDT,2023-04-02 16:00:00.001000+00:00,8,5.71e-05
ADAUSDT,2023-04-03 00:00:00+00:00,8,1.763e-05
ADAUSDT,2023-04-03 08:00:00.013000+00:00,8,0.0001
ADAUSDT,2023-04-03 16:00:00.011000+00:00,8,0.0001
ADAUSDT,2023-04-04 00:00:00.002000+00:00,8,3.665e-05
ADAUSDT,2023-04-04 08:00:00.017000+00:00,8,4.002e-05
ADAUSDT,2023-04-04 16:00:00.008000+00:00,8,0.0001
ADAUSDT,2023-04-05 00:00:00+00:00,8,1.908e-05
