month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,scenario_id,candidate
2025-07,0.03316444062407404,2.1044305518955104,2.175610575463595,-0.08615926469677782,32.4,14,3.3720510911731116,-8.615926469677781,funding_3bp_8h,3
2025-08,0.07407786632181222,2.175393025283739,2.3428946992589528,-0.10882475141562142,32.2,12,7.68906557459792,-10.882475141562143,funding_3bp_8h,3
2025-09,0.04254429629193255,2.34266042150311,2.4447222373311366,-0.10875920179791543,32.2,12,4.346227685960891,-10.875920179791542,funding_3bp_8h,3
2025-10,0.0960390542569201,2.4444777773306074,2.6911552607065654,-0.174469775084381,52.7,24,10.08020541607404,-17.4469775084381,funding_3bp_8h,3
2025-11,0.17946585795069617,2.6908861586358226,3.220177313412726,-0.11562402596155064,36.2,14,19.65780497432894,-11.562402596155064,funding_3bp_8h,3
2025-12,0.15810956608101537,3.219855311781735,3.7717760465147947,-0.11571863918606817,32.2,12,17.129452182786274,-11.571863918606818,funding_3bp_8h,3
2026-01,0.07358296263232716,3.7713988877683953,4.059780682357704,-0.22633853771336754,68.3,13,7.635783044675715,-22.633853771336753,funding_3bp_8h,3
2026-02,0.2384808251552714,4.024778364011023,5.1531582450824285,-0.25435704618478994,60.1,11,26.931936680128786,-25.435704618478994,funding_3bp_8h,3
2026-03,0.20342598964390346,5.152642955022852,6.315682132792807,-0.30212457157294115,36.0,12,22.559444760301027,-30.212457157294114,funding_3bp_8h,3
2026-04,0.17119573749230926,6.315050596156886,7.494965326469575,-0.13178285684239954,36.8,20,18.672301247616495,-13.178285684239954,funding_3bp_8h,3
2026-05,0.11111461083545784,7.494215867410504,8.375795984813143,-0.09723263029611329,32.2,12,11.752297975740023,-9.723263029611328,funding_3bp_8h,3
2026-06,0.35578106469669973,8.374958447092244,11.954731971233818,-0.21529216747754287,54.7,12,42.72950287842938,-21.529216747754287,funding_3bp_8h,3
2025-01,0.05650766489101115,0.9999000049998333,1.0581347252564872,-0.18318480098257928,50.2,12,5.813472525648744,-18.31848009825793,miss_top5pct_rebalance,3
2025-02,0.1025146992509897,1.058028917074459,1.1723641653062078,-0.06766700206675302,20.3,13,10.795358787798182,-6.766700206675303,miss_top5pct_rebalance,3
2025-03,0.36225264730887713,1.1719276456139942,1.684173621991852,-0.2785026932934984,65.9,11,43.65618395986759,-27.850269329349842,miss_top5pct_rebalance,3
2025-04,0.07579385237285513,1.6840052130502403,1.816785741835932,-0.320260024795339,80.8,24,7.874017150752022,-32.0260024795339,miss_top5pct_rebalance,3
2025-05,0.15714152755964267,1.8166040723453745,2.1259322060525876,-0.1723381320482259,48.2,14,17.01612122430298,-17.23381320482259,miss_top5pct_rebalance,3
2025-06,0.12022370634822158,2.125719623461289,2.397518149038544,-0.1815275883768277,48.0,12,12.774910799730277,-18.152758837682768,miss_top5pct_rebalance,3
2025-07,0.049866003124074056,2.3972784092108315,2.520103824456232,-0.07915371180197883,32.4,14,5.11302387708088,-7.915371180197884,miss_top5pct_rebalance,3
2025-08,0.09101474132181223,2.5198518266738854,2.7602322981329075,-0.10118354059363377,32.2,12,9.528515109034807,-10.118354059363377,miss_top5pct_rebalance,3
2025-09,0.05976242129193255,2.7599562887037954,2.9302192906962956,-0.10192151979435926,32.2,12,6.1584306755040785,-10.192151979435927,miss_top5pct_rebalance,3
2025-10,0.09947134063847916,2.929926283417834,3.23668158926461,-0.1732870489124022,52.7,24,10.45868135334973,-17.32870489124022,miss_top5pct_rebalance,3
2025-11,0.19857117045069617,3.236357937288552,3.94764727375184,-0.11128758679805473,36.2,14,21.965882799388005,-11.128758679805472,miss_top5pct_rebalance,3
2025-12,0.17030175358101537,3.9472525287620432,4.680577632867521,-0.1125111849935162,32.2,12,18.56625752733738,-11.25111849935162,miss_top5pct_rebalance,3
2026-01,0.11380072122227707,4.680109598506342,5.244722061773341,-0.21374700819682413,68.3,13,12.052880502276931,-21.374700819682413,miss_top5pct_rebalance,3
2026-02,0.2593753564052713,5.199508377572785,6.7977903154789265,-0.2442711463198597,60.1,11,29.612022055949573,-24.42711463198597,miss_top5pct_rebalance,3
2026-03,0.21158692714390342,6.797110570435198,8.399603756665117,-0.2925249695229706,36.0,12,23.563737138798956,-29.252496952297058,miss_top5pct_rebalance,3
2026-04,0.17865389880591603,8.398763838286069,10.042623970061722,-0.11916788944769063,36.8,20,19.560687158520686,-11.916788944769063,miss_top5pct_rebalance,3
2026-05,0.13330054833545787,10.04161975787616,11.474635377407479,-0.09502690556500881,32.2,12,14.259335126106066,-9.50269055650088,miss_top5pct_rebalance,3
2026-06,0.37513287735818446,11.473487971241001,16.697714560796562,-0.21443543663075304,54.7,12,45.518476287907546,-21.443543663075303,miss_top5pct_rebalance,3
2025-01,0.06586270102717974,0.9999000049998333,1.0680800608031016,-0.1755076110748066,50.2,12,6.808006080310158,-17.55076110748066,outage_top3vol_4bars,3
2025-02,0.1025146992509897,1.0679732581372436,1.1833831355077296,-0.06766700206675302,20.3,13,10.795358787798182,-6.766700206675303,outage_top3vol_4bars,3
2025-03,0.34854514671692954,1.1829425129969353,1.6768592454935607,-0.28832514363126094,65.9,11,41.7004514581075,-28.832514363126094,outage_top3vol_4bars,3
2025-04,0.0635063572376614,1.676691567953028,1.7868046344951645,-0.2940311707059141,80.8,24,6.556625983789255,-29.40311707059141,outage_top3vol_4bars,3
2025-05,0.15994409974076593,1.7866259629654404,2.096717452593471,-0.1801513287381621,48.2,14,17.344527326338998,-18.01513287381621,outage_top3vol_4bars,3
2025-06,0.08989159239832537,2.0965077913314496,2.2939256243684842,-0.1815275883768277,48.0,12,9.405567332454945,-18.152758837682768,outage_top3vol_4bars,3
2025-07,0.049866003124074056,2.293696243275293,2.4112145892649206,-0.07915371180197905,32.4,14,5.11302387708088,-7.915371180197905,outage_top3vol_4bars,3
2025-08,0.09101474132181223,2.4109734798616653,2.64096753571428,-0.10118354059363388,32.2,12,9.528515109034807,-10.118354059363387,outage_top3vol_4bars,3
2025-09,0.05976242129193255,2.640703452165106,2.803609690563812,-0.10192151979435915,32.2,12,6.1584306755040785,-10.192151979435915,outage_top3vol_4bars,3
2025-10,0.10982124175692008,2.803329343612337,3.129048622471519,-0.16468621952538975,52.7,24,11.607854438620379,-16.468621952538975,outage_top3vol_4bars,3
2025-11,0.19857117045069617,3.1287357332539933,3.8163717756194746,-0.11128758679805473,36.2,14,21.965882799388005,-11.128758679805472,outage_top3vol_4bars,3
2025-12,0.17030175358101537,3.8159901575231356,4.524929187681605,-0.11251118499351631,32.2,12,18.56625752733738,-11.25111849935163,outage_top3vol_4bars,3
2026-01,0.10944515013232718,4.524476717386729,5.048277409314731,-0.20989094466236913,68.3,13,11.565887551519282,-20.989094466236914,outage_top3vol_4bars,3
2026-02,0.2593753564052713,5.004757234584178,6.543174429206538,-0.2442711463198597,60.1,11,29.612022055949573,-24.42711463198597,outage_top3vol_4bars,3
2026-03,0.21158692714390342,6.5425201444784,8.084990852237873,-0.2925249695229706,36.0,12,23.563737138798956,-29.252496952297058,outage_top3vol_4bars,3
2026-04,0.18642636249230923,8.084182393576254,9.741895650955051,-0.11229497873015415,36.8,20,20.493589034285222,-11.229497873015415,outage_top3vol_4bars,3
2026-05,0.13330054833545787,9.740921510097808,11.13102519946028,-0.0950269055650087,32.2,12,14.259335126106066,-9.50269055650087,outage_top3vol_4bars,3
2026-06,0.37910887719669967,11.129912152593604,16.262228512280007,-0.2113058144879908,54.7,12,46.09820947192284,-21.13058144879908,outage_top3vol_4bars,3
2025-01,0.04533978884164589,0.9999000049998333,1.04638334889574,-0.16390161925112468,50.0,10,4.638334889573992,-16.390161925112466,vol_slip_10pct_cap20bps,4
2025-02,0.0969723007659279,1.046268878997804,1.1529364118672238,-0.08927460507541751,20.1,11,10.182985335530281,-8.92746050754175,vol_slip_10pct_cap20bps,4
2025-03,0.19623147517069678,1.1524686770824546,1.402902864774782,-0.19258679441763027,50.1,11,21.680853370111542,-19.25867944176303,vol_slip_10pct_cap20bps,4
