selector_id,family,strict_no_future,posthoc_selection,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,annualized_sharpe,exposure_pct,turnover,orders,unique_units_used,unit_index,unit_id,expert_index,expert_name,leverage,win_rate_pct,profit_factor,notes
static_single_expert,static_single_expert,True,True,False,2.6194057200558127,20.334996199463838,2.6194057200558127,-37.48790277445623,7,0,-82.48545963320339,-92.06505157355846,-0.7160161821158714,99.88785608583056,1222.0,611,1,73,expert_0018_ret_state_lev2,18,ret_state,2.0,49.830437852289954,0.9882624363564256,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,-3.0912210604386976,97.66186856334502,-3.0912210604386976,-37.566514383368684,7,2,28.574252159845305,-83.49106989246359,0.10447053695037652,99.22192933777283,566.0,283,1,353,expert_0088_ret_state_lev2,88,ret_state,2.0,50.06233760180837,1.0017375985285044,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,-32.17266704982654,180.45202290441625,-32.17266704982654,-40.01465344347942,7,2,18.975950587840913,-86.79309617255251,0.07228642766422025,99.19302626711061,354.0,177,1,361,expert_0090_ret_state_lev2,90,ret_state,2.0,50.113056248397406,1.0012063600216512,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,-46.05602833540528,28.53159674140206,-46.05602833540528,-48.731632180394016,7,0,113.85999238740445,-78.67747593666556,0.3157030873614051,99.5548927118017,478.0,239,1,321,expert_0080_ret_state_lev2,80,ret_state,2.0,50.134129205328,1.0052236367367657,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,58.1513513870003,96.17502764204345,58.1513513870003,-54.97118525967713,7,0,-79.73179662382684,-96.50854288669821,-0.3396740223417813,95.37435257121717,108.0,27,1,446,expert_0111_gap_adx_state_flip_lev4,111,gap_adx_state_flip,4.0,49.96424025698527,0.9943255500646215,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,55.510506031339176,96.17502764204345,55.510506031339176,-55.723086114364875,7,0,-79.3493282610933,-96.38224781646788,-0.3356936709355365,95.37435257121717,124.0,31,1,390,expert_0097_gap_adx_state_flip_lev4,97,gap_adx_state_flip,4.0,49.96545245166374,0.9943921432476225,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,55.510506031339176,96.17502764204345,55.510506031339176,-55.723086114364875,7,0,-80.07023945270019,-96.50854288669821,-0.34326205675700194,95.37435257121717,108.0,27,1,422,expert_0105_gap_adx_state_flip_lev4,105,gap_adx_state_flip,4.0,49.96060367294988,0.994265696594601,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,5.307424303374235,44.80511310324976,5.307424303374235,-60.92237700464164,7,0,-96.93240875739852,-99.37036593469712,-0.7160161821158714,99.88785608583056,2444.0,611,1,74,expert_0018_ret_state_lev4,18,ret_state,4.0,49.830437852289954,0.9882624363564256,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,-6.086885644432399,290.70214283953084,-6.086885644432399,-61.0205987375789,7,2,65.31338318463484,-97.27455226704478,0.10447053695037652,99.22192933777283,1132.0,283,1,354,expert_0088_ret_state_lev4,88,ret_state,4.0,50.06233760180837,1.0017375985285044,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,-53.99452904866314,686.5333715117921,-53.99452904866314,-64.01758198494124,7,2,41.55276818280363,-98.25577691292553,0.07228642766422025,99.19302626711061,708.0,177,1,362,expert_0090_ret_state_lev4,90,ret_state,4.0,50.113056248397406,1.0012063600216512,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,-70.90047921049403,65.20371360894397,-70.90047921049403,-73.7155446111359,7,0,357.3609634394068,-95.45349967568524,0.3157030873614051,99.5548927118017,956.0,239,1,322,expert_0080_ret_state_lev4,80,ret_state,4.0,50.134129205328,1.0052236367367657,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,150.11849945534442,284.84641470356513,150.11849945534442,-79.72405843081681,7,0,-95.89199931902083,-99.87809727225975,-0.3396740223417813,95.37435257121717,216.0,27,1,447,expert_0111_gap_adx_state_flip_lev8,111,gap_adx_state_flip,8.0,49.96424025698527,0.9943255500646215,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,141.8351748612318,284.84641470356513,141.8351748612318,-80.39554896764051,7,0,-95.7354975673192,-99.86911869138548,-0.3356936709355365,95.37435257121717,248.0,31,1,391,expert_0097_gap_adx_state_flip_lev8,97,gap_adx_state_flip,8.0,49.96545245166374,0.9943921432476225,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,141.8351748612318,284.84641470356513,141.8351748612318,-80.39554896764051,7,0,-96.02804644527292,-99.87809727225975,-0.34326205675700194,95.37435257121717,216.0,27,1,423,expert_0105_gap_adx_state_flip_lev8,105,gap_adx_state_flip,8.0,49.96060367294988,0.994265696594601,Single expert+leverage held for the whole backtest; best row is selected after the scan.
