event_index,event_timestamp,month,action,hype_target,btc_target,hold_bars
28857,2026-02-25 14:15:00+00:00,2026-02,btc_momentum,0.0,4.0,16
29008,2026-02-27 04:00:00+00:00,2026-02,hype_reversal,-4.0,0.0,96
29115,2026-02-28 06:45:00+00:00,2026-02,hype_reversal,4.0,0.0,96
29212,2026-03-01 07:00:00+00:00,2026-03,hype_momentum,4.0,0.0,192
29412,2026-03-03 09:00:00+00:00,2026-03,btc_reversal,0.0,4.0,192
29643,2026-03-05 18:45:00+00:00,2026-03,btc_momentum,0.0,-4.0,192
29949,2026-03-08 23:15:00+00:00,2026-03,hype_momentum,4.0,0.0,96
30046,2026-03-09 23:30:00+00:00,2026-03,hype_momentum,4.0,0.0,192
30264,2026-03-12 06:00:00+00:00,2026-03,btc_reversal,0.0,4.0,96
30371,2026-03-13 08:45:00+00:00,2026-03,hype_momentum,-4.0,0.0,32
30495,2026-03-14 15:45:00+00:00,2026-03,btc_reversal,0.0,4.0,192
30707,2026-03-16 20:45:00+00:00,2026-03,hype_momentum,4.0,0.0,192
30946,2026-03-19 08:30:00+00:00,2026-03,btc_reversal,0.0,4.0,96
31350,2026-03-23 13:30:00+00:00,2026-03,hype_momentum,4.0,0.0,192
32045,2026-03-30 19:15:00+00:00,2026-03,btc_reversal,0.0,4.0,192
32826,2026-04-07 22:30:00+00:00,2026-04,hype_momentum,4.0,0.0,192
33233,2026-04-12 04:15:00+00:00,2026-04,hype_reversal,4.0,0.0,192
33464,2026-04-14 14:00:00+00:00,2026-04,pair_rv_reversal,4.0,-2.0,192
33671,2026-04-16 17:45:00+00:00,2026-04,btc_momentum,0.0,4.0,96
33959,2026-04-19 17:45:00+00:00,2026-04,hype_momentum,-4.0,0.0,192
34263,2026-04-22 21:45:00+00:00,2026-04,hype_reversal,-4.0,0.0,32
34790,2026-04-28 09:30:00+00:00,2026-04,hype_momentum,-4.0,0.0,192
34987,2026-04-30 10:45:00+00:00,2026-04,hype_reversal,4.0,0.0,192
35392,2026-05-04 16:00:00+00:00,2026-05,hype_momentum,4.0,0.0,96
35588,2026-05-06 17:00:00+00:00,2026-05,btc_momentum,0.0,-4.0,192
35872,2026-05-09 16:00:00+00:00,2026-05,hype_momentum,-4.0,0.0,192
36336,2026-05-14 12:00:00+00:00,2026-05,hype_momentum,4.0,0.0,64
36401,2026-05-15 04:15:00+00:00,2026-05,hype_reversal,-4.0,0.0,192
36597,2026-05-17 05:15:00+00:00,2026-05,hype_momentum,4.0,0.0,192
36908,2026-05-20 11:00:00+00:00,2026-05,hype_momentum,4.0,0.0,192
37101,2026-05-22 11:15:00+00:00,2026-05,hype_reversal,-4.0,0.0,96
37199,2026-05-23 11:45:00+00:00,2026-05,hype_reversal,4.0,0.0,192
37452,2026-05-26 03:00:00+00:00,2026-05,pair_rv_reversal,4.0,-2.0,96
37562,2026-05-27 06:30:00+00:00,2026-05,hype_reversal,-4.0,0.0,96
37673,2026-05-28 10:15:00+00:00,2026-05,hype_reversal,4.0,0.0,192
38004,2026-05-31 21:00:00+00:00,2026-05,hype_momentum,4.0,0.0,16
