candidate_id,hard_pass_complete_years,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,max_drawdown_pct,bucket_family,lookback_months,min_abs_mean_bps,min_samples,leverage
calendar_session_lb12_thr0p0_min20_lev1p0,False,-99.32806731249023,-75.11970673153922,-74.07282266117254,-78.45066418506741,-51.66283821823696,-78.45066418506741,34,-32.734505913447364,2,2488,4894.0,4.894,-99.93001715856091,session,12.0,0.0,20,1.0
calendar_session_lb12_thr0p0_min50_lev1p0,False,-99.32806731249023,-75.11970673153922,-74.07282266117254,-78.45066418506741,-51.66283821823696,-78.45066418506741,34,-32.734505913447364,2,2488,4894.0,4.894,-99.93001715856091,session,12.0,0.0,50,1.0
calendar_session_lb12_thr0p0_min20_lev2p0,False,-99.99548506463456,-93.80971006875386,-93.27781475240992,-95.35626125935264,-76.63518790883667,-95.35626125935264,34,-54.753533052919536,2,2488,9788.0,9.788,-99.99995102401904,session,12.0,0.0,20,2.0
calendar_session_lb12_thr0p0_min50_lev2p0,False,-99.99548506463456,-93.80971006875386,-93.27781475240992,-95.35626125935264,-76.63518790883667,-95.35626125935264,34,-54.753533052919536,2,2488,9788.0,9.788,-99.99995102401904,session,12.0,0.0,50,2.0
calendar_session_lb12_thr0p0_min20_lev4p0,False,-99.99999979615359,-99.61680310567112,-99.54812225497082,-99.78435690508611,-94.54085555944629,-99.78435690508611,34,-79.52757228806755,2,2488,19576.0,19.576,-99.99999999997601,session,12.0,0.0,20,4.0
calendar_session_lb12_thr0p0_min50_lev4p0,False,-99.99999979615359,-99.61680310567112,-99.54812225497082,-99.78435690508611,-94.54085555944629,-99.78435690508611,34,-79.52757228806755,2,2488,19576.0,19.576,-99.99999999997601,session,12.0,0.0,50,4.0
calendar_weekday_lb12_thr1p0_min20_lev1p0,False,-3.5326486120353384,0.0,-3.5326486120353384,0.0,0.0,-3.5326486120353384,37,-5.79281613833288,0,62,62.0,0.062000000000000006,-51.202212896429636,weekday,12.0,1.0,20,1.0
calendar_weekday_lb12_thr1p0_min50_lev1p0,False,-3.5326486120353384,0.0,-3.5326486120353384,0.0,0.0,-3.5326486120353384,37,-5.79281613833288,0,62,62.0,0.062000000000000006,-51.202212896429636,weekday,12.0,1.0,50,1.0
calendar_weekday_lb12_thr1p0_min20_lev2p0,False,-6.940501161909529,0.0,-6.940501161909529,0.0,0.0,-6.940501161909529,37,-11.25006508854045,0,62,124.0,0.12400000000000001,-76.18775973794621,weekday,12.0,1.0,20,2.0
calendar_weekday_lb12_thr1p0_min50_lev2p0,False,-6.940501161909529,0.0,-6.940501161909529,0.0,0.0,-6.940501161909529,37,-11.25006508854045,0,62,124.0,0.12400000000000001,-76.18775973794621,weekday,12.0,1.0,50,2.0
calendar_weekday_lb12_thr1p0_min20_lev4p0,False,-13.399296760034375,0.0,-13.399296760034375,0.0,0.0,-13.399296760034375,37,-21.234490532116933,0,62,248.0,0.24800000000000003,-94.32977213702225,weekday,12.0,1.0,20,4.0
calendar_weekday_lb12_thr1p0_min50_lev4p0,False,-13.399296760034375,0.0,-13.399296760034375,0.0,0.0,-13.399296760034375,37,-21.234490532116933,0,62,248.0,0.24800000000000003,-94.32977213702225,weekday,12.0,1.0,50,4.0
calendar_session_lb12_thr0p5_min20_lev1p0,False,-65.11634347517382,-37.95492925592846,-41.428087531019095,-4.010150032133808,0.0,-41.428087531019095,39,-19.862367591721885,0,970,970.0,0.97,-92.81237188101684,session,12.0,0.5,20,1.0
calendar_session_lb12_thr0p5_min50_lev1p0,False,-65.11634347517382,-37.95492925592846,-41.428087531019095,-4.010150032133808,0.0,-41.428087531019095,39,-19.862367591721885,0,970,970.0,0.97,-92.81237188101684,session,12.0,0.5,50,1.0
calendar_session_lb12_thr0p5_min20_lev2p0,False,-87.83130507457952,-61.50409196363158,-65.69331069726039,-7.859487031465395,0.0,-65.69331069726039,39,-35.77959871995694,0,970,1940.0,1.94,-99.48338002023203,session,12.0,0.5,20,2.0
calendar_session_lb12_thr0p5_min50_lev2p0,False,-87.83130507457952,-61.50409196363158,-65.69331069726039,-7.859487031465395,0.0,-65.69331069726039,39,-35.77959871995694,0,970,1940.0,1.94,-99.48338002023203,session,12.0,0.5,50,2.0
calendar_session_lb12_thr0p5_min20_lev4p0,False,-98.51922863812047,-85.18065064455465,-88.23051069085292,-15.101258698953057,0.0,-88.23051069085292,39,-58.75740059430243,0,970,3880.0,3.88,-99.99733103796504,session,12.0,0.5,20,4.0
calendar_session_lb12_thr0p5_min50_lev4p0,False,-98.51922863812047,-85.18065064455465,-88.23051069085292,-15.101258698953057,0.0,-88.23051069085292,39,-58.75740059430243,0,970,3880.0,3.88,-99.99733103796504,session,12.0,0.5,50,4.0
calendar_hour_lbexpanding_thr1p0_min20_lev1p0,False,-79.16032633920224,-57.19863434061605,-51.31072726360828,0.0,0.0,-57.19863434061605,40,-14.383013613663142,0,1642,1642.0,1.642,-99.9702506202502,hour,,1.0,20,1.0
calendar_hour_lbexpanding_thr1p0_min50_lev1p0,False,-79.16032633920224,-57.19863434061605,-51.31072726360828,0.0,0.0,-57.19863434061605,40,-14.383013613663142,0,1642,1642.0,1.642,-99.9702506202502,hour,,1.0,50,1.0
calendar_hour_lbexpanding_thr1p0_min20_lev2p0,False,-95.65708001711452,-81.68043097691708,-76.29354720401263,0.0,0.0,-81.68043097691708,40,-26.697316421218098,0,1642,3284.0,3.284,-99.99999114974405,hour,,1.0,20,2.0
calendar_hour_lbexpanding_thr1p0_min50_lev2p0,False,-95.65708001711452,-81.68043097691708,-76.29354720401263,0.0,0.0,-81.68043097691708,40,-26.697316421218098,0,1642,3284.0,3.284,-99.99999114974405,hour,,1.0,50,2.0
calendar_hour_lbexpanding_thr1p0_min20_lev4p0,False,-99.81139046022254,-96.64393390808502,-94.38004095831623,0.0,0.0,-96.64393390808502,40,-46.267165801489774,0,1642,6568.0,6.568,-99.99999999999922,hour,,1.0,20,4.0
calendar_hour_lbexpanding_thr1p0_min50_lev4p0,False,-99.81139046022254,-96.64393390808502,-94.38004095831623,0.0,0.0,-96.64393390808502,40,-46.267165801489774,0,1642,6568.0,6.568,-99.99999999999922,hour,,1.0,50,4.0
calendar_session_lb12_thr1p0_min20_lev1p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-17.3131848273396,session,12.0,1.0,20,1.0
calendar_session_lb12_thr1p0_min20_lev2p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-31.62890596602297,session,12.0,1.0,20,2.0
calendar_session_lb12_thr1p0_min20_lev4p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-53.25393500597071,session,12.0,1.0,20,4.0
calendar_session_lb12_thr1p0_min50_lev1p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-17.3131848273396,session,12.0,1.0,50,1.0
calendar_session_lb12_thr1p0_min50_lev2p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-31.62890596602297,session,12.0,1.0,50,2.0
calendar_session_lb12_thr1p0_min50_lev4p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-53.25393500597071,session,12.0,1.0,50,4.0
calendar_session_lb24_thr0p5_min20_lev1p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-88.29183604614452,session,24.0,0.5,20,1.0
calendar_session_lb24_thr0p5_min20_lev2p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-98.62918896829639,session,24.0,0.5,20,2.0
calendar_session_lb24_thr0p5_min20_lev4p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-99.98120877115359,session,24.0,0.5,20,4.0
calendar_session_lb24_thr0p5_min50_lev1p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-88.29183604614452,session,24.0,0.5,50,1.0
calendar_session_lb24_thr0p5_min50_lev2p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-98.62918896829639,session,24.0,0.5,50,2.0
calendar_session_lb24_thr0p5_min50_lev4p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-99.98120877115359,session,24.0,0.5,50,4.0
calendar_session_lb24_thr1p0_min20_lev1p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,0.0,session,24.0,1.0,20,1.0
calendar_session_lb24_thr1p0_min20_lev2p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,0.0,session,24.0,1.0,20,2.0
calendar_session_lb24_thr1p0_min20_lev4p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,0.0,session,24.0,1.0,20,4.0
calendar_session_lb24_thr1p0_min50_lev1p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,0.0,session,24.0,1.0,50,1.0
calendar_session_lb24_thr1p0_min50_lev2p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,0.0,session,24.0,1.0,50,2.0
calendar_session_lb24_thr1p0_min50_lev4p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,0.0,session,24.0,1.0,50,4.0
calendar_session_lbexpanding_thr1p0_min20_lev1p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,0.0,session,,1.0,20,1.0
calendar_session_lbexpanding_thr1p0_min20_lev2p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,0.0,session,,1.0,20,2.0
calendar_session_lbexpanding_thr1p0_min20_lev4p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,0.0,session,,1.0,20,4.0
calendar_session_lbexpanding_thr1p0_min50_lev1p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,0.0,session,,1.0,50,1.0
calendar_session_lbexpanding_thr1p0_min50_lev2p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,0.0,session,,1.0,50,2.0
calendar_session_lbexpanding_thr1p0_min50_lev4p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,0.0,session,,1.0,50,4.0
calendar_weekday_lb24_thr1p0_min20_lev1p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-29.291334577043237,weekday,24.0,1.0,20,1.0
calendar_weekday_lb24_thr1p0_min20_lev2p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-50.00284634104359,weekday,24.0,1.0,20,2.0
calendar_weekday_lb24_thr1p0_min20_lev4p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-75.00284626002703,weekday,24.0,1.0,20,4.0
calendar_weekday_lb24_thr1p0_min50_lev1p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-29.291334577043237,weekday,24.0,1.0,50,1.0
calendar_weekday_lb24_thr1p0_min50_lev2p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-50.00284634104359,weekday,24.0,1.0,50,2.0
calendar_weekday_lb24_thr1p0_min50_lev4p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-75.00284626002703,weekday,24.0,1.0,50,4.0
calendar_weekday_lbexpanding_thr1p0_min20_lev1p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-29.291334577043237,weekday,,1.0,20,1.0
calendar_weekday_lbexpanding_thr1p0_min20_lev2p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-50.00284634104359,weekday,,1.0,20,2.0
calendar_weekday_lbexpanding_thr1p0_min20_lev4p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-75.00284626002703,weekday,,1.0,20,4.0
calendar_weekday_lbexpanding_thr1p0_min50_lev1p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-29.291334577043237,weekday,,1.0,50,1.0
calendar_weekday_lbexpanding_thr1p0_min50_lev2p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-50.00284634104359,weekday,,1.0,50,2.0
calendar_weekday_lbexpanding_thr1p0_min50_lev4p0,False,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0,0,0.0,0.0,-75.00284626002703,weekday,,1.0,50,4.0
calendar_session_lbexpanding_thr0p5_min20_lev1p0,False,-16.828046286034002,-16.828046286034002,0.0,0.0,0.0,-16.828046286034002,41,-8.393157032495113,0,178,178.0,0.178,-86.30376815060916,session,,0.5,20,1.0
calendar_session_lbexpanding_thr0p5_min50_lev1p0,False,-16.828046286034002,-16.828046286034002,0.0,0.0,0.0,-16.828046286034002,41,-8.393157032495113,0,178,178.0,0.178,-86.30376815060916,session,,0.5,50,1.0
calendar_session_lbexpanding_thr0p5_min20_lev2p0,False,-30.824261154018973,-30.824261154018973,0.0,0.0,0.0,-30.824261154018973,41,-16.081863215269,0,178,356.0,0.356,-98.12413233127732,session,,0.5,20,2.0
calendar_session_lbexpanding_thr0p5_min50_lev2p0,False,-30.824261154018973,-30.824261154018973,0.0,0.0,0.0,-30.824261154018973,41,-16.081863215269,0,178,356.0,0.356,-98.12413233127732,session,,0.5,50,2.0
calendar_session_lbexpanding_thr0p5_min20_lev4p0,False,-52.14717155112631,-52.14717155112631,0.0,0.0,0.0,-52.14717155112631,41,-29.577463185791775,0,178,712.0,0.712,-99.96481120489442,session,,0.5,20,4.0
calendar_session_lbexpanding_thr0p5_min50_lev4p0,False,-52.14717155112631,-52.14717155112631,0.0,0.0,0.0,-52.14717155112631,41,-29.577463185791775,0,178,712.0,0.712,-99.96481120489442,session,,0.5,50,4.0
calendar_hour_lb24_thr1p0_min20_lev1p0,False,-97.72051396726415,-86.96196437594571,-58.45249337098928,-30.737210749373123,-39.245307165054875,-86.96196437594571,41,-30.570915355564622,0,3795,3826.0,3.826,-99.9989998500531,hour,24.0,1.0,20,1.0
calendar_hour_lb24_thr1p0_min50_lev1p0,False,-97.72051396726415,-86.96196437594571,-58.45249337098928,-30.737210749373123,-39.245307165054875,-86.96196437594571,41,-30.570915355564622,0,3795,3826.0,3.826,-99.9989998500531,hour,24.0,1.0,50,1.0
calendar_hour_week_lbexpanding_thr1p0_min20_lev1p0,False,-99.99999474784495,-99.69555325192601,-99.3378259198056,-98.77920615109097,-78.65915116277236,-99.69555325192601,41,-50.615592225371266,296,15994,17734.0,17.734,-99.99999999999518,hour_week,,1.0,20,1.0
calendar_hour_week_lbexpanding_thr1p0_min50_lev1p0,False,-99.99999474784495,-99.69555325192601,-99.3378259198056,-98.77920615109097,-78.65915116277236,-99.69555325192601,41,-50.615592225371266,296,15994,17734.0,17.734,-99.99999999999518,hour_week,,1.0,50,1.0
calendar_hour_lb24_thr0p5_min20_lev1p0,False,-99.99999797555152,-99.73480562393972,-99.38395890535652,-98.9711360048811,-87.95588854010754,-99.73480562393972,41,-50.85286032919007,252,16010,17530.0,17.529999999999998,-99.99999999998906,hour,24.0,0.5,20,1.0
calendar_hour_lb24_thr0p5_min50_lev1p0,False,-99.99999797555152,-99.73480562393972,-99.38395890535652,-98.9711360048811,-87.95588854010754,-99.73480562393972,41,-50.85286032919007,252,16010,17530.0,17.529999999999998,-99.99999999998906,hour,24.0,0.5,50,1.0
calendar_hour_lb24_thr1p0_min20_lev2p0,False,-99.94803943426562,-98.30009627065891,-82.7380469291231,-52.02666025223246,-63.08867298531467,-98.30009627065891,41,-51.79602205435827,0,3795,7652.0,7.652,-99.99999998999701,hour,24.0,1.0,20,2.0
calendar_hour_lb24_thr1p0_min50_lev2p0,False,-99.94803943426562,-98.30009627065891,-82.7380469291231,-52.02666025223246,-63.08867298531467,-98.30009627065891,41,-51.79602205435827,0,3795,7652.0,7.652,-99.99999998999701,hour,24.0,1.0,50,2.0
calendar_hour_week_lb12_thr1p0_min20_lev1p0,False,-99.99999997067702,-99.91352990480245,-99.77656205285422,-99.7916230110256,-92.71657769317157,-99.91352990480245,41,-51.883742351371055,365,17975,22380.0,22.38,-99.99999999999999,hour_week,12.0,1.0,20,1.0
