month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,candidate,market_return_pct,market_max_drawdown_pct,market_max_runup_pct,market_regime,shock_month,complete_month,partial_month,data_end_utc,label_rule_version,is_posthoc_label,year
2025-11,0.2225048492069427,2.7128094019660725,3.389185499228168,-0.1066698463344243,32.2,12,24.920187727438183,-10.666984633442434,4,-17.462670200127928,-27.19437781500628,14.824746879947014,down,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-12,0.1703017535810153,3.87166970415373,4.590952944375252,-0.1125111849935163,32.2,12,18.56625752733738,-11.25111849935163,2C,-1.4394567527340696,-10.370154164566026,12.269945960760476,sideways,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-12,0.1703017535810153,3.815990157523136,4.524929187681605,-0.1125111849935163,32.2,12,18.56625752733738,-11.25111849935163,3,-1.4394567527340696,-10.370154164566026,12.269945960760476,sideways,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-12,0.1421538177702578,3.389185499228168,3.906896967934815,-0.1088161573873159,32.0,10,15.275394894276118,-10.8816157387316,4,-1.4394567527340696,-10.370154164566026,12.269945960760476,sideways,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2026-01,0.1094451501323271,4.590493872034814,5.121937399464853,-0.2098909446623689,68.3,13,11.565887551519282,-20.98909446623689,2C,-10.25962031811185,-20.75292502510092,11.513774989089232,down,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2026
2026-01,0.1094451501323271,4.524476717386729,5.048277409314731,-0.2098909446623691,68.3,13,11.565887551519282,-20.989094466236917,3,-10.25962031811185,-20.75292502510092,11.513774989089232,down,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2026
2026-01,0.0999507802951092,3.906506297771855,4.317576393813612,-0.2301609580269398,68.1,11,10.511652322786636,-23.016095802693982,4,-10.25962031811185,-20.75292502510092,11.513774989089232,down,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2026
2026-02,0.2593753564052713,5.077782216912411,6.638646631886325,-0.2442711463198597,60.1,11,29.612022055949573,-24.42711463198597,2C,-15.59621112201125,-24.09243712313601,18.727024158168494,down,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2026
2026-02,0.2593753564052713,5.004757234584178,6.543174429206538,-0.2442711463198597,60.1,11,29.612022055949573,-24.42711463198597,3,-15.59621112201125,-24.09243712313601,18.727024158168494,down,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2026
2026-02,0.2659035832305264,4.2803554442032405,5.6327501718104775,-0.2393214381144751,60.1,11,30.460926641189022,-23.932143811447517,4,-15.59621112201125,-24.09243712313601,18.727024158168494,down,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2026
2026-03,0.2115869271439034,6.637982800415264,8.202959873797742,-0.2925249695229706,36.0,12,23.56373713879896,-29.252496952297054,2C,2.030548686221101,-13.583680610909898,16.391074525655892,sideways,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2026
2026-03,0.2115869271439034,6.5425201444784,8.084990852237873,-0.2925249695229706,36.0,12,23.56373713879896,-29.252496952297054,3,2.030548686221101,-13.583680610909898,16.391074525655892,sideways,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2026
2026-03,0.1835607718632437,5.632186924956108,6.767681624963563,-0.2878913036963924,32.0,10,20.14879798562588,-28.78913036963924,4,2.030548686221101,-13.583680610909898,16.391074525655892,sideways,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2026
2026-04,0.189759584754679,8.202139618823793,9.917041432416733,-0.1122949787301546,36.0,12,20.89589105627812,-11.22949787301546,2C,12.20606810999827,-5.565193566105176,20.412872607729994,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2026
2026-04,0.1864263624923092,8.084182393576254,9.741895650955051,-0.1122949787301541,36.8,20,20.493589034285225,-11.229497873015417,3,12.20606810999827,-5.565193566105176,20.412872607729994,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2026
2026-04,0.1695055896845083,6.767004890638347,8.017800798735164,-0.1311751285782225,32.8,18,18.471896921988183,-13.117512857822256,4,12.20606810999827,-5.565193566105176,20.412872607729994,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2026
2026-05,0.1333005483354578,9.91604977785704,11.331145604859818,-0.0950269055650087,32.2,12,14.259335126106066,-9.50269055650087,2C,-3.631741396251942,-12.128431930109029,8.150090754314254,sideways,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2026
2026-05,0.1333005483354578,9.740921510097808,11.13102519946028,-0.0950269055650087,32.2,12,14.259335126106066,-9.50269055650087,3,-3.631741396251942,-12.128431930109029,8.150090754314254,sideways,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2026
2026-05,0.1474204912742497,8.016999058742957,9.29135744342886,-0.0886075161833536,32.0,10,15.884114318412546,-8.86075161833536,4,-3.631741396251942,-12.128431930109029,8.150090754314254,sideways,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2026
