month,event_index,event_timestamp,action,btc_target,hype_target,hold_bars,leverage,trained_rows,trained_actions
2026-05,34541,2026-05-26 19:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,222,4
2026-05,34614,2026-05-27 13:30:00+00:00,btc_momentum,-2.0,0.0,64,2.0,222,4
2026-05,34697,2026-05-28 10:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,222,4
2026-05,34785,2026-05-29 08:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,222,4
2026-05,35028,2026-05-31 21:00:00+00:00,btc_reversal,-2.0,0.0,64,2.0,222,4
2026-06,35040,2026-06-01 00:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,246,4
2026-06,35138,2026-06-02 00:30:00+00:00,btc_momentum,-2.0,0.0,64,2.0,246,4
2026-06,35222,2026-06-02 21:30:00+00:00,btc_reversal,-2.0,0.0,64,2.0,246,4
2026-06,35317,2026-06-03 21:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,246,4
2026-06,35388,2026-06-04 15:00:00+00:00,btc_reversal,-2.0,0.0,64,2.0,246,4
2026-06,35453,2026-06-05 07:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,246,4
2026-06,35528,2026-06-06 02:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,246,4
2026-06,35598,2026-06-06 19:30:00+00:00,btc_reversal,2.0,0.0,64,2.0,246,4
2026-06,35664,2026-06-07 12:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,246,4
2026-06,35765,2026-06-08 13:15:00+00:00,btc_reversal,-2.0,0.0,64,2.0,246,4
2026-06,35866,2026-06-09 14:30:00+00:00,btc_reversal,2.0,0.0,64,2.0,246,4
2026-06,35931,2026-06-10 06:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,246,4
2026-06,36025,2026-06-11 06:15:00+00:00,btc_reversal,-2.0,0.0,64,2.0,246,4
2026-06,36092,2026-06-11 23:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,246,4
2026-06,36166,2026-06-12 17:30:00+00:00,btc_reversal,-2.0,0.0,64,2.0,246,4
2026-06,36374,2026-06-14 21:30:00+00:00,btc_reversal,-2.0,0.0,64,2.0,246,4
2026-06,36440,2026-06-15 14:00:00+00:00,btc_reversal,-2.0,0.0,64,2.0,246,4
2026-06,36505,2026-06-16 06:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,246,4
2026-06,36571,2026-06-16 22:45:00+00:00,btc_reversal,2.0,0.0,64,2.0,246,4
2026-06,36639,2026-06-17 15:45:00+00:00,btc_reversal,-2.0,0.0,64,2.0,246,4
2026-06,36705,2026-06-18 08:15:00+00:00,btc_reversal,-2.0,0.0,64,2.0,246,4
2026-06,36832,2026-06-19 16:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,246,4
2026-06,37177,2026-06-23 06:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,246,4
2026-06,37310,2026-06-24 15:30:00+00:00,btc_momentum,-2.0,0.0,64,2.0,246,4
2026-06,37399,2026-06-25 13:45:00+00:00,btc_reversal,2.0,0.0,64,2.0,246,4
2026-06,37487,2026-06-26 11:45:00+00:00,btc_reversal,2.0,0.0,64,2.0,246,4
