month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars
2026-05,0.13103415931573098,10.223519373509685,11.656629176619743,-0.09512221870617388,32.2,12,14.000672249645362,-9.512221870617388,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2026-06,0.4003606406162521,11.65488081337377,17.395919841043817,-0.23546614685012068,54.7,12,49.23628072458253,-23.546614685012067,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2025-01,0.037067047532231875,0.9998500112494375,1.0377625979268785,-0.3595988455036684,128.0,16,3.7762597926878527,-35.95988455036684,1F_cost0.0015_delay2,1F,0.0015,0.003,2
2025-02,0.09236650768465546,1.037606945211435,1.1381834825955974,-0.09271548774880911,20.3,13,9.676672185847512,-9.27154877488091,1F_cost0.0015_delay2,1F,0.0015,0.003,2
2025-03,0.32250200807476637,1.1376743610091191,1.5713506926490928,-0.247872598174793,65.9,11,38.05776631599582,-24.787259817479303,1F_cost0.0015_delay2,1F,0.0015,0.003,2
2025-04,0.13229572558223696,1.5711150077220069,1.7936116863072653,-0.3534940345349875,80.0,16,14.144582409129146,-35.34940345349875,1F_cost0.0015_delay2,1F,0.0015,0.003,2
2025-05,0.14163472007163116,1.7933426647314419,2.066519950037438,-0.11330667060901134,48.0,12,15.215571230584635,-11.330667060901135,1F_cost0.0015_delay2,1F,0.0015,0.003,2
2025-06,0.13357677094385376,2.0662099952921196,2.3618442598483975,-0.16386276624718743,48.0,12,14.290900497022019,-16.386276624718743,1F_cost0.0015_delay2,1F,0.0015,0.003,2
2025-07,0.059354626087749794,2.3614900097788394,2.5062745460930618,-0.14396906248790797,48.2,14,6.115148602301779,-14.396906248790797,1F_cost0.0015_delay2,1F,0.0015,0.003,2
2025-08,0.08017341977250614,2.5058986331053266,2.715485681903776,-0.09124752489812227,32.2,12,8.347494736234907,-9.124752489812227,1F_cost0.0015_delay2,1F,0.0015,0.003,2
2025-09,0.07447270074286409,2.7150783895991766,2.9254359914809234,-0.25264563109798077,64.0,14,7.731593319613994,-25.264563109798075,1F_cost0.0015_delay2,1F,0.0015,0.003,2
2025-10,0.08891381058406758,2.9249972089917105,3.1974618943587956,-0.15369346321422772,51.9,16,9.29864484029157,-15.369346321422771,1F_cost0.0015_delay2,1F,0.0015,0.003,2
2025-11,0.2118065351584055,3.196982311044289,3.951771155590602,-0.11961937802667244,36.2,14,23.590875705590776,-11.961937802667244,1F_cost0.0015_delay2,1F,0.0015,0.003,2
2025-12,0.1461924087193412,3.951178434372466,4.573854482122725,-0.17224274308579635,63.800000000000004,12,15.741886410908613,-17.224274308579634,1F_cost0.0015_delay2,1F,0.0015,0.003,2
2026-01,0.08336976647678608,4.573168455403696,4.971522083417757,-0.20025488206668152,68.3,13,8.694364957375722,-20.02548820666815,1F_cost0.0015_delay2,1F,0.0015,0.003,2
