symbol,month,url,ok,rows,http_status,error
HYPEUSDT,2024-01,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2024-01.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2024-02,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2024-02.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2024-03,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2024-03.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2024-04,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2024-04.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2024-05,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2024-05.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2024-06,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2024-06.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2024-07,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2024-07.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2024-08,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2024-08.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2024-09,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2024-09.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2024-10,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2024-10.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2024-11,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2024-11.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2024-12,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2024-12.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2025-01,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2025-01.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2025-02,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2025-02.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2025-03,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2025-03.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2025-04,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2025-04.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2025-05,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2025-05.zip,False,0,,"URLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)'))"
HYPEUSDT,2025-06,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2025-06.zip,True,2880,200.0,
HYPEUSDT,2025-07,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2025-07.zip,True,2976,200.0,
HYPEUSDT,2025-08,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2025-08.zip,True,2976,200.0,
HYPEUSDT,2025-09,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2025-09.zip,True,2880,200.0,
HYPEUSDT,2025-10,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2025-10.zip,True,2976,200.0,
HYPEUSDT,2025-11,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2025-11.zip,True,2880,200.0,
HYPEUSDT,2025-12,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2025-12.zip,True,2976,200.0,
HYPEUSDT,2026-01,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2026-01.zip,True,2976,200.0,
HYPEUSDT,2026-02,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2026-02.zip,True,2688,200.0,
HYPEUSDT,2026-03,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2026-03.zip,True,2976,200.0,
HYPEUSDT,2026-04,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2026-04.zip,True,2880,200.0,
HYPEUSDT,2026-05,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2026-05.zip,True,2976,200.0,
