timestamp,open,high,low,close,target_position,component,entry_reason,exit_reason,action,confidence,data_basis,candidate_version
2026-05-25 18:15:00+00:00,77602.6,77628.6,77560.7,77612.1,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 18:30:00+00:00,77612.1,77612.1,77542.1,77580.4,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 18:45:00+00:00,77580.4,77596.0,77511.7,77511.7,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 19:00:00+00:00,77511.7,77515.8,77379.1,77465.4,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 19:15:00+00:00,77465.5,77491.4,77413.4,77486.6,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 19:30:00+00:00,77486.5,77491.6,77313.0,77376.0,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 19:45:00+00:00,77375.9,77438.8,77361.6,77403.3,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 20:00:00+00:00,77403.4,77447.7,77377.5,77406.4,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 20:15:00+00:00,77406.3,77472.0,77398.4,77399.6,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 20:30:00+00:00,77399.6,77439.3,77172.0,77238.8,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 20:45:00+00:00,77238.8,77324.4,77213.4,77243.7,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 21:00:00+00:00,77243.7,77340.0,77240.7,77334.8,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 21:15:00+00:00,77334.7,77334.8,77244.5,77323.8,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 21:30:00+00:00,77323.7,77344.7,77240.5,77272.2,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 21:45:00+00:00,77272.3,77366.7,77268.0,77340.8,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 22:00:00+00:00,77340.9,77430.0,77242.3,77381.3,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 22:15:00+00:00,77381.2,77404.5,77235.0,77266.4,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 22:30:00+00:00,77266.4,77266.4,77011.3,77157.6,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 22:45:00+00:00,77157.5,77220.5,77084.6,77084.7,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 23:00:00+00:00,77084.7,77262.9,77040.2,77255.0,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 23:15:00+00:00,77255.0,77297.6,77218.3,77252.0,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 23:30:00+00:00,77252.1,77329.6,77225.7,77301.8,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-25 23:45:00+00:00,77301.8,77338.0,77249.6,77281.5,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-26 00:00:00+00:00,77281.5,77319.6,77175.1,77196.5,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-26 00:15:00+00:00,77196.4,77217.1,77051.0,77095.8,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-26 00:30:00+00:00,77095.8,77168.4,76777.2,76839.5,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-26 00:45:00+00:00,76839.4,76900.0,76532.1,76750.1,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-26 01:00:00+00:00,76750.1,76847.9,76582.5,76806.3,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-26 01:15:00+00:00,76806.4,76879.2,76690.8,76760.1,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-26 01:30:00+00:00,76760.1,76760.1,76550.0,76636.7,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-26 01:45:00+00:00,76636.8,76767.1,76618.7,76717.8,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-26 02:00:00+00:00,76717.8,76790.0,76589.1,76734.7,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
2026-05-26 02:15:00+00:00,76734.6,76748.3,76627.7,76637.5,-1.0,v2_alpha_robust_static,v2_alpha_robust_static,,hold,0.6,public_binance_15m_4h_closed_bar_alpha_robust_replay,alpha_robust_static_a742e1d0c3_lev2.2
