candidate_id,family,rule,leverage,lookback,threshold_bps,sample_month_count,non_positive_months,total_sample_return_pct,losing_sample_months,min_monthly_return_pct,max_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_month_drawdown_pct,selected_candidate_count,symbol
single_symbol_symbol_momentum_lev2p0_symbolSOLUSDT_lookback1536_threshold_bps50,single_symbol,symbol_momentum,2.0,1536,50,4,"['2023-07', '2024-06', '2026-05']",-99.54641072670462,3,-97.79222642542912,46.3269914558782,2,98,202.0,0.202,-99.61808224993342,1,SOLUSDT
single_symbol_symbol_momentum_lev2p0_symbolSOLUSDT_lookback1536_threshold_bps20,single_symbol,symbol_momentum,2.0,1536,20,4,"['2023-07', '2024-06', '2026-05']",-99.55464456569227,3,-97.82901827978506,50.543026949581375,2,95,218.0,0.21800000000000003,-99.62501506216182,1,SOLUSDT
single_symbol_symbol_momentum_lev2p0_symbolSOLUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,2.0,1536,100,4,"['2023-07', '2024-06', '2026-05']",-99.55647396383178,3,-97.8531818037817,42.72049891025196,7,94,190.0,0.19,-99.6265553975766,1,SOLUSDT
single_symbol_symbol_reversal_lev2p0_symbolXRPUSDT_lookback1536_threshold_bps20,single_symbol,symbol_reversal,2.0,1536,20,4,"['2024-06', '2025-08', '2026-05']",-99.66450574293903,3,-97.59462495209291,13.272300143686632,15,96,226.0,0.22600000000000003,-99.7462119600867,1,XRPUSDT
single_symbol_symbol_momentum_lev4p0_symbolADAUSDT_lookback16_threshold_bps20,single_symbol,symbol_momentum,4.0,16,20,4,"['2023-07', '2024-06', '2025-08']",-99.75717503817583,3,-97.89304294976489,558.8789425612916,604,2581,11724.0,11.724,-99.96675426546548,1,ADAUSDT
single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps100,single_symbol,symbol_momentum,4.0,96,100,4,"['2023-07', '2024-06', '2025-08']",-99.83521721011147,3,-99.19513854905688,377.88096813509037,206,1017,4096.0,4.096,-99.97583168576718,1,AVAXUSDT
single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback16_threshold_bps50,single_symbol,symbol_momentum,4.0,16,50,4,"['2023-07', '2024-06', '2025-08']",-99.87109865984532,3,-97.16158114604356,258.507909549118,573,2411,9860.0,9.86,-99.96610347128315,1,AVAXUSDT
cross_section_long_strong_short_weak_lev4p0_lookback384_threshold_bps0,cross_section,long_strong_short_weak,4.0,384,0,4,"['2023-07', '2024-06', '2025-08']",-99.871105806284,3,-99.61867410070546,109.10849451247664,436,2146,4292.0,4.292000000000001,-99.96065290970814,1,
cross_section_long_strong_short_weak_lev4p0_lookback384_threshold_bps50,cross_section,long_strong_short_weak,4.0,384,50,4,"['2023-07', '2024-06', '2025-08']",-99.871105806284,3,-99.61867410070546,109.10849451247664,436,2146,4292.0,4.292000000000001,-99.96065290970814,1,
cross_section_long_strong_short_weak_lev4p0_lookback384_threshold_bps100,cross_section,long_strong_short_weak,4.0,384,100,4,"['2023-07', '2024-06', '2025-08']",-99.871105806284,3,-99.61867410070546,109.10849451247664,436,2146,4292.0,4.292000000000001,-99.96065290970814,1,
